date,session_key,air_temperature,pressure,humidity,wind_direction,meeting_key,rainfall,wind_speed,track_temperature
2024-03-02T14:56:56.555000+00:00,9472,18.4,1017.0,49.0,26,1229,0,1.8,23.9
2024-03-02T14:57:56.548000+00:00,9472,18.3,1017.1,49.0,30,1229,0,1.8,23.8
2024-03-02T14:58:56.560000+00:00,9472,18.4,1017.0,49.0,32,1229,0,2.1,23.7
2024-03-02T14:59:56.548000+00:00,9472,18.3,1017.0,49.0,37,1229,0,1.6,23.7
2024-03-02T15:00:56.552000+00:00,9472,18.3,1017.0,49.0,48,1229,0,1.6,23.9
2024-03-02T15:01:56.548000+00:00,9472,18.3,1017.0,49.0,34,1229,0,1.1,23.9
2024-03-02T15:02:56.565000+00:00,9472,18.3,1017.1,49.0,44,1229,0,1.2,23.8
2024-03-02T15:03:56.545000+00:00,9472,18.2,1017.2,49.0,58,1229,0,1.5,23.8
2024-03-02T15:04:56.561000+00:00,9472,18.3,1017.0,49.0,28,1229,0,0.9,23.8
2024-03-02T15:05:56.551000+00:00,9472,18.3,1017.0,49.0,33,1229,0,1.1,23.8
2024-03-02T15:06:56.557000+00:00,9472,18.3,1017.1,49.0,89,1229,0,1.5,23.8
2024-03-02T15:07:56.551000+00:00,9472,18.3,1017.0,49.0,32,1229,0,1.0,23.8
2024-03-02T15:08:56.557000+00:00,9472,18.3,1017.0,49.0,24,1229,0,0.9,23.7
2024-03-02T15:09:56.553000+00:00,9472,18.3,1017.0,49.0,37,1229,0,0.7,23.6
2024-03-02T15:10:56.557000+00:00,9472,18.3,1017.1,50.0,40,1229,0,1.5,23.5
2024-03-02T15:11:56.552000+00:00,9472,18.3,1017.1,50.0,236,1229,0,1.1,23.5
2024-03-02T15:12:56.556000+00:00,9472,18.3,1017.1,49.0,0,1229,0,0.6,23.5
2024-03-02T15:13:56.557000+00:00,9472,18.3,1017.1,50.0,13,1229,0,0.5,23.5
2024-03-02T15:14:56.565000+00:00,9472,18.3,1017.2,50.0,10,1229,0,0.5,23.7
2024-03-02T15:15:56.557000+00:00,9472,18.2,1017.2,50.0,126,1229,0,1.1,23.7
2024-03-02T15:16:56.572000+00:00,9472,18.2,1017.2,50.0,98,1229,0,0.4,23.5
2024-03-02T15:17:56.560000+00:00,9472,18.2,1017.1,50.0,221,1229,0,0.6,23.5
2024-03-02T15:18:56.562000+00:00,9472,18.2,1017.2,50.0,330,1229,0,0.5,23.5
