date,session_key,driver_number,position,meeting_key
2024-03-02T14:03:47.739000+00:00,9472,1,1,1229
2024-03-02T14:03:47.739000+00:00,9472,16,2,1229
2024-03-02T14:03:47.739000+00:00,9472,63,3,1229
2024-03-02T14:03:47.739000+00:00,9472,55,4,1229
2024-03-02T14:03:47.739000+00:00,9472,11,5,1229
2024-03-02T14:03:47.739000+00:00,9472,14,6,1229
2024-03-02T14:03:47.739000+00:00,9472,4,7,1229
2024-03-02T14:03:47.739000+00:00,9472,81,8,1229
2024-03-02T14:03:47.739000+00:00,9472,44,9,1229
2024-03-02T14:03:47.739000+00:00,9472,27,10,1229
2024-03-02T14:03:47.739000+00:00,9472,22,11,1229
2024-03-02T14:03:47.739000+00:00,9472,18,12,1229
2024-03-02T14:03:47.739000+00:00,9472,23,13,1229
2024-03-02T14:03:47.739000+00:00,9472,3,14,1229
2024-03-02T14:03:47.739000+00:00,9472,20,15,1229
2024-03-02T14:03:47.739000+00:00,9472,77,16,1229
2024-03-02T14:03:47.739000+00:00,9472,24,17,1229
2024-03-02T14:03:47.739000+00:00,9472,2,18,1229
2024-03-02T14:03:47.739000+00:00,9472,31,19,1229
2024-03-02T14:03:47.739000+00:00,9472,10,20,1229
2024-03-02T15:03:49.260000+00:00,9472,1,2,1229
2024-03-02T15:03:49.260000+00:00,9472,16,3,1229
2024-03-02T15:03:49.260000+00:00,9472,63,4,1229
2024-03-02T15:03:49.260000+00:00,9472,55,5,1229
2024-03-02T15:03:49.260000+00:00,9472,11,6,1229
2024-03-02T15:03:49.260000+00:00,9472,14,7,1229
2024-03-02T15:03:49.260000+00:00,9472,4,1,1229
2024-03-02T15:03:49.419000+00:00,9472,1,3,1229
2024-03-02T15:03:49.419000+00:00,9472,16,4,1229
2024-03-02T15:03:49.419000+00:00,9472,63,5,1229
2024-03-02T15:03:49.419000+00:00,9472,55,6,1229
2024-03-02T15:03:49.419000+00:00,9472,11,7,1229
2024-03-02T15:03:49.419000+00:00,9472,14,8,1229
2024-03-02T15:03:49.419000+00:00,9472,81,2,1229
2024-03-02T15:03:49.429000+00:00,9472,1,4,1229
2024-03-02T15:03:49.429000+00:00,9472,16,5,1229
2024-03-02T15:03:49.429000+00:00,9472,63,6,1229
2024-03-02T15:03:49.429000+00:00,9472,55,7,1229
2024-03-02T15:03:49.429000+00:00,9472,11,8,1229
2024-03-02T15:03:49.429000+00:00,9472,14,9,1229
2024-03-02T15:03:49.429000+00:00,9472,44,3,1229
2024-03-02T15:03:49.741000+00:00,9472,1,5,1229
2024-03-02T15:03:49.741000+00:00,9472,16,6,1229
2024-03-02T15:03:49.741000+00:00,9472,63,7,1229
2024-03-02T15:03:49.741000+00:00,9472,55,8,1229
2024-03-02T15:03:49.741000+00:00,9472,11,9,1229
2024-03-02T15:03:49.741000+00:00,9472,14,10,1229
2024-03-02T15:03:49.741000+00:00,9472,27,11,1229
2024-03-02T15:03:49.741000+00:00,9472,22,4,1229
2024-03-02T15:03:49.843000+00:00,9472,1,6,1229
2024-03-02T15:03:49.843000+00:00,9472,16,7,1229
2024-03-02T15:03:49.843000+00:00,9472,63,8,1229
2024-03-02T15:03:49.843000+00:00,9472,55,9,1229
2024-03-02T15:03:49.843000+00:00,9472,11,10,1229
2024-03-02T15:03:49.843000+00:00,9472,14,11,1229
2024-03-02T15:03:49.843000+00:00,9472,27,12,1229
2024-03-02T15:03:49.843000+00:00,9472,18,5,1229
2024-03-02T15:03:49.937000+00:00,9472,1,7,1229
2024-03-02T15:03:49.937000+00:00,9472,16,8,1229
2024-03-02T15:03:49.937000+00:00,9472,63,9,1229
2024-03-02T15:03:49.937000+00:00,9472,55,10,1229
2024-03-02T15:03:49.937000+00:00,9472,11,11,1229
2024-03-02T15:03:49.937000+00:00,9472,14,12,1229
2024-03-02T15:03:49.937000+00:00,9472,27,13,1229
2024-03-02T15:03:49.937000+00:00,9472,23,6,1229
2024-03-02T15:03:50.137000+00:00,9472,1,8,1229
2024-03-02T15:03:50.137000+00:00,9472,16,9,1229
2024-03-02T15:03:50.137000+00:00,9472,63,10,1229
2024-03-02T15:03:50.137000+00:00,9472,55,11,1229
2024-03-02T15:03:50.137000+00:00,9472,11,12,1229
2024-03-02T15:03:50.137000+00:00,9472,14,13,1229
2024-03-02T15:03:50.137000+00:00,9472,27,7,1229
2024-03-02T15:03:50.143000+00:00,9472,1,9,1229
2024-03-02T15:03:50.143000+00:00,9472,16,10,1229
2024-03-02T15:03:50.143000+00:00,9472,63,11,1229
2024-03-02T15:03:50.143000+00:00,9472,55,12,1229
