date,session_key,meeting_key,driver_number,position
2025-03-16 03:07:26.837000+00:00,9693,1254,4,1
2025-03-16 03:07:26.837000+00:00,9693,1254,81,2
2025-03-16 03:07:26.837000+00:00,9693,1254,1,3
2025-03-16 03:07:26.837000+00:00,9693,1254,63,4
2025-03-16 03:07:26.837000+00:00,9693,1254,22,5
2025-03-16 03:07:26.837000+00:00,9693,1254,23,6
2025-03-16 03:07:26.837000+00:00,9693,1254,16,7
2025-03-16 03:07:26.837000+00:00,9693,1254,44,8
2025-03-16 03:07:26.837000+00:00,9693,1254,10,9
2025-03-16 03:07:26.837000+00:00,9693,1254,55,10
2025-03-16 03:07:26.837000+00:00,9693,1254,6,11
2025-03-16 03:07:26.837000+00:00,9693,1254,14,12
2025-03-16 03:07:26.837000+00:00,9693,1254,18,13
2025-03-16 03:07:26.837000+00:00,9693,1254,7,14
2025-03-16 03:07:26.837000+00:00,9693,1254,5,15
2025-03-16 03:07:26.837000+00:00,9693,1254,12,16
2025-03-16 03:07:26.837000+00:00,9693,1254,27,17
2025-03-16 03:07:26.837000+00:00,9693,1254,30,18
2025-03-16 03:07:26.837000+00:00,9693,1254,31,19
2025-03-16 03:07:26.837000+00:00,9693,1254,87,20
2025-03-16 04:18:34.631000+00:00,9693,1254,23,7
2025-03-16 04:18:34.631000+00:00,9693,1254,16,6
2025-03-16 04:18:34.909000+00:00,9693,1254,23,8
2025-03-16 04:18:34.909000+00:00,9693,1254,44,7
2025-03-16 04:18:34.935000+00:00,9693,1254,23,7
2025-03-16 04:18:34.935000+00:00,9693,1254,44,8
2025-03-16 04:18:35.319000+00:00,9693,1254,6,12
2025-03-16 04:18:35.319000+00:00,9693,1254,14,11
2025-03-16 04:18:35.720000+00:00,9693,1254,6,13
2025-03-16 04:18:35.720000+00:00,9693,1254,18,14
2025-03-16 04:18:35.720000+00:00,9693,1254,7,12
2025-03-16 04:18:35.924000+00:00,9693,1254,6,14
2025-03-16 04:18:35.924000+00:00,9693,1254,18,15
2025-03-16 04:18:35.924000+00:00,9693,1254,5,16
2025-03-16 04:18:35.924000+00:00,9693,1254,12,13
2025-03-16 04:18:36.004000+00:00,9693,1254,6,15
2025-03-16 04:18:36.004000+00:00,9693,1254,18,12
2025-03-16 04:18:36.004000+00:00,9693,1254,7,13
2025-03-16 04:18:36.004000+00:00,9693,1254,12,14
2025-03-16 04:18:36.152000+00:00,9693,1254,6,16
2025-03-16 04:18:36.152000+00:00,9693,1254,5,15
2025-03-16 04:18:36.267000+00:00,9693,1254,6,17
2025-03-16 04:18:36.267000+00:00,9693,1254,27,16
2025-03-16 04:18:37.143000+00:00,9693,1254,6,18
2025-03-16 04:18:37.143000+00:00,9693,1254,30,19
2025-03-16 04:18:37.143000+00:00,9693,1254,31,17
2025-03-16 04:18:40.490000+00:00,9693,1254,81,3
2025-03-16 04:18:40.490000+00:00,9693,1254,1,2
2025-03-16 04:18:41.936000+00:00,9693,1254,6,19
2025-03-16 04:18:41.936000+00:00,9693,1254,30,18
2025-03-16 04:18:42.562000+00:00,9693,1254,6,20
2025-03-16 04:18:42.562000+00:00,9693,1254,87,19
2025-03-16 04:18:49.863000+00:00,9693,1254,22,6
2025-03-16 04:18:49.863000+00:00,9693,1254,16,5
2025-03-16 04:18:52.880000+00:00,9693,1254,5,16
2025-03-16 04:18:52.880000+00:00,9693,1254,27,15
2025-03-16 04:18:58.644000+00:00,9693,1254,5,15
2025-03-16 04:18:58.644000+00:00,9693,1254,27,16
2025-03-16 04:19:05.581000+00:00,9693,1254,5,16
2025-03-16 04:19:05.581000+00:00,9693,1254,27,15
2025-03-16 04:19:12.731000+00:00,9693,1254,7,14
2025-03-16 04:19:12.731000+00:00,9693,1254,12,15
2025-03-16 04:19:12.731000+00:00,9693,1254,27,13
2025-03-16 04:19:12.835000+00:00,9693,1254,7,15
2025-03-16 04:19:12.835000+00:00,9693,1254,12,14
2025-03-16 04:19:13.190000+00:00,9693,1254,7,16
2025-03-16 04:19:13.190000+00:00,9693,1254,5,15
2025-03-16 04:19:13.887000+00:00,9693,1254,7,17
2025-03-16 04:19:13.887000+00:00,9693,1254,31,16
2025-03-16 04:19:14.028000+00:00,9693,1254,7,16
2025-03-16 04:19:14.028000+00:00,9693,1254,31,17
2025-03-16 04:19:20.075000+00:00,9693,1254,7,17
2025-03-16 04:19:20.075000+00:00,9693,1254,31,16
2025-03-16 04:19:22.305000+00:00,9693,1254,7,18
2025-03-16 04:19:22.305000+00:00,9693,1254,30,17
2025-03-16 04:19:24.366000+00:00,9693,1254,7,19
2025-03-16 04:19:24.366000+00:00,9693,1254,87,18
2025-03-16 04:20:32.838000+00:00,9693,1254,55,11
2025-03-16 04:20:32.838000+00:00,9693,1254,14,10
2025-03-16 04:20:35.102000+00:00,9693,1254,55,12
2025-03-16 04:20:35.102000+00:00,9693,1254,18,11
2025-03-16 04:20:36.247000+00:00,9693,1254,55,13
2025-03-16 04:20:36.247000+00:00,9693,1254,27,12
2025-03-16 04:20:37.167000+00:00,9693,1254,55,14
2025-03-16 04:20:37.167000+00:00,9693,1254,12,13
2025-03-16 04:20:38.201000+00:00,9693,1254,55,15
2025-03-16 04:20:38.201000+00:00,9693,1254,5,14
2025-03-16 04:20:39.392000+00:00,9693,1254,55,16
2025-03-16 04:20:39.392000+00:00,9693,1254,31,15
2025-03-16 04:20:42.062000+00:00,9693,1254,55,17
2025-03-16 04:20:42.062000+00:00,9693,1254,30,16
2025-03-16 04:20:43.306000+00:00,9693,1254,55,18
2025-03-16 04:20:43.306000+00:00,9693,1254,87,17
2025-03-16 04:46:20.460000+00:00,9693,1254,12,12
2025-03-16 04:46:20.460000+00:00,9693,1254,27,13
2025-03-16 04:48:48.444000+00:00,9693,1254,12,13
2025-03-16 04:48:48.444000+00:00,9693,1254,27,12
2025-03-16 04:50:32.866000+00:00,9693,1254,81,2
2025-03-16 04:50:32.866000+00:00,9693,1254,1,3
2025-03-16 04:51:09.202000+00:00,9693,1254,12,12
2025-03-16 04:51:09.202000+00:00,9693,1254,27,13
2025-03-16 04:54:08.500000+00:00,9693,1254,30,15
2025-03-16 04:54:08.500000+00:00,9693,1254,31,16
2025-03-16 04:58:47.328000+00:00,9693,1254,18,12
2025-03-16 04:58:47.328000+00:00,9693,1254,12,11
2025-03-16 05:14:48.334000+00:00,9693,1254,14,11
2025-03-16 05:14:48.334000+00:00,9693,1254,12,10
2025-03-16 05:15:02.689000+00:00,9693,1254,14,12
2025-03-16 05:15:02.689000+00:00,9693,1254,18,11
2025-03-16 05:15:09.411000+00:00,9693,1254,14,13
2025-03-16 05:15:09.411000+00:00,9693,1254,27,12
2025-03-16 05:15:13.174000+00:00,9693,1254,14,14
2025-03-16 05:15:13.174000+00:00,9693,1254,5,13
2025-03-16 05:15:29.556000+00:00,9693,1254,14,15
2025-03-16 05:15:29.556000+00:00,9693,1254,30,14
2025-03-16 05:15:45.139000+00:00,9693,1254,14,16
2025-03-16 05:15:45.139000+00:00,9693,1254,31,15
2025-03-16 05:15:47.565000+00:00,9693,1254,14,17
2025-03-16 05:15:47.565000+00:00,9693,1254,87,16
2025-03-16 05:16:48.689000+00:00,9693,1254,30,15
2025-03-16 05:16:48.689000+00:00,9693,1254,31,14
2025-03-16 05:16:56.286000+00:00,9693,1254,30,16
2025-03-16 05:16:56.286000+00:00,9693,1254,87,15
2025-03-16 05:30:05.438000+00:00,9693,1254,30,14
2025-03-16 05:30:05.438000+00:00,9693,1254,31,15
2025-03-16 05:30:05.438000+00:00,9693,1254,87,16
2025-03-16 05:35:11.999000+00:00,9693,1254,22,5
2025-03-16 05:35:11.999000+00:00,9693,1254,16,6
2025-03-16 05:35:52.559000+00:00,9693,1254,5,14
2025-03-16 05:35:52.559000+00:00,9693,1254,30,13
2025-03-16 05:36:40.897000+00:00,9693,1254,4,2
2025-03-16 05:36:40.897000+00:00,9693,1254,81,3
2025-03-16 05:36:40.897000+00:00,9693,1254,1,1
2025-03-16 05:36:44.445000+00:00,9693,1254,23,6
2025-03-16 05:36:44.445000+00:00,9693,1254,16,7
2025-03-16 05:36:44.981000+00:00,9693,1254,16,8
2025-03-16 05:36:44.981000+00:00,9693,1254,44,7
2025-03-16 05:36:46.284000+00:00,9693,1254,16,9
2025-03-16 05:36:46.284000+00:00,9693,1254,10,8
2025-03-16 05:36:46.662000+00:00,9693,1254,4,3
2025-03-16 05:36:46.662000+00:00,9693,1254,81,4
2025-03-16 05:36:46.662000+00:00,9693,1254,63,2
2025-03-16 05:36:46.859000+00:00,9693,1254,16,10
2025-03-16 05:36:46.859000+00:00,9693,1254,12,9
2025-03-16 05:36:47.379000+00:00,9693,1254,4,4
2025-03-16 05:36:47.379000+00:00,9693,1254,81,5
2025-03-16 05:36:47.379000+00:00,9693,1254,22,3
2025-03-16 05:36:47.630000+00:00,9693,1254,4,1
2025-03-16 05:36:47.630000+00:00,9693,1254,1,2
2025-03-16 05:36:47.630000+00:00,9693,1254,63,3
2025-03-16 05:36:47.630000+00:00,9693,1254,22,4
2025-03-16 05:36:47.726000+00:00,9693,1254,16,11
2025-03-16 05:36:47.726000+00:00,9693,1254,18,10
2025-03-16 05:36:48.833000+00:00,9693,1254,81,6
2025-03-16 05:36:48.833000+00:00,9693,1254,23,5
2025-03-16 05:36:49.245000+00:00,9693,1254,81,7
2025-03-16 05:36:49.245000+00:00,9693,1254,44,6
2025-03-16 05:36:49.901000+00:00,9693,1254,16,12
2025-03-16 05:36:49.901000+00:00,9693,1254,27,11
2025-03-16 05:36:50.475000+00:00,9693,1254,81,8
2025-03-16 05:36:50.475000+00:00,9693,1254,10,7
2025-03-16 05:36:50.932000+00:00,9693,1254,81,9
2025-03-16 05:36:50.932000+00:00,9693,1254,12,8
