session_key,driver_number,final_position,avg_lap_time,lap_time_std,best_lap_time,consistency_score,total_laps,qualifying_position,qualifying_best_lap,avg_finish_position,best_finish_position,worst_finish_position,finish_position_std,races_completed,podium_rate,win_rate,avg_finish_last_3,trend_last_3,avg_finish_last_5,trend_last_5,avg_finish_last_10,trend_last_10,team_avg_position,team_consistency,teammate_avg_position,avg_air_temp,avg_track_temp,avg_humidity,rainfall,weather_variability,num_pit_stops,avg_pit_duration,total_pit_time
9693,1,2,1.0331372549019607e-07,2.264552070152367e-08,8.3e-08,0.21919179270785866,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.48e-08,7.4e-08
9693,4,1,1.0398039215686276e-07,2.3441407974845225e-08,8.2e-08,0.2254406574989829,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.4600000000000002e-08,7.3e-08
9693,5,16,1.0289743589743591e-07,2.0998489759973932e-08,8.4e-08,0.20407204102641,39,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.88e-08,9.4e-08
9693,6,19,,,,,0,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,0,,0.0
9693,7,20,,,,,0,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,0,,0.0
9693,10,11,1.032156862745098e-07,1.9620717342126097e-08,8.5e-08,0.19009433595144964,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.6399999999999998e-08,8.199999999999999e-08
9693,12,5,1.0335294117647058e-07,1.9876441864088016e-08,8.4e-08,0.1923161705688653,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.64e-08,8.2e-08
9693,14,17,9.757142857142855e-08,1.7737653131808013e-08,8.8e-08,0.18179146694385961,28,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,3,1.5333333333333335e-08,4.6e-08
9693,16,8,1.0362745098039217e-07,2.1817388280281145e-08,8.5e-08,0.21053676486174802,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.6799999999999998e-08,8.4e-08
9693,18,6,1.0384313725490197e-07,1.972447469416573e-08,8.5e-08,0.1899449035880763,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.62e-08,8.1e-08
9693,22,12,1.0352941176470585e-07,2.061004894819658e-08,8.4e-08,0.1990743364314443,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.58e-08,7.899999999999999e-08
9693,23,4,1.0354901960784315e-07,1.9920154342263712e-08,8.4e-08,0.19237414721746812,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.62e-08,8.1e-08
9693,27,7,1.038627450980392e-07,1.9572449624758915e-08,8.5e-08,0.1884453333703426,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.7e-08,8.500000000000001e-08
9693,30,15,1.0197560975609757e-07,2.057970821571342e-08,8.2e-08,0.20181010209142555,41,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,4,1.7e-08,6.8e-08
9693,31,13,1.0392156862745099e-07,1.9618198833995847e-08,8.6e-08,0.18877889444033738,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.7200000000000002e-08,8.6e-08
9693,44,10,1.0329411764705883e-07,2.0522469751613287e-08,8.4e-08,0.19867994634249764,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.6599999999999996e-08,8.299999999999999e-08
9693,55,18,,,,,0,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,0,,0.0
9693,63,3,1.04e-07,2.187601426220051e-08,8.5e-08,0.2103462909826972,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.56e-08,7.8e-08
9693,81,9,1.043137254901961e-07,2.455971514173439e-08,8.3e-08,0.23544087823843113,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.52e-08,7.6e-08
9693,87,14,1.0437254901960784e-07,2.0101702200872167e-08,8.7e-08,0.19259568142860803,51,,,,,,,0,0.0,0.0,,,,,,,,,,15.707865168539326,18.942134831460674,78.42134831460675,58,0.27631543389015323,5,1.86e-08,9.3e-08
9993,1,3,9.683333333333333e-08,1.465284553774252e-09,9.5e-08,0.015132026372883842,18,,,2.0,2.0,2.0,0.0,1,1.0,0.0,,,,,,,8.5,6.5,15.0,22.896428571428572,35.660714285714285,25.428571428571427,0,1.2298513826507314,0,,0.0
