date,session_key,rainfall,humidity,pressure,air_temperature,meeting_key,track_temperature,wind_direction,wind_speed
2025-11-29T13:18:34.948000+00:00,9845,0,47.0,1015.0,26.0,1275,32.6,340,2.9
2025-11-29T13:19:34.949000+00:00,9845,0,47.0,1015.1,26.0,1275,32.6,353,3.0
2025-11-29T13:20:34.961000+00:00,9845,0,47.0,1015.0,25.9,1275,32.6,344,2.8
2025-11-29T13:21:34.958000+00:00,9845,0,47.0,1015.0,25.9,1275,32.6,338,2.7
2025-11-29T13:22:34.950000+00:00,9845,0,47.0,1015.1,25.9,1275,32.6,352,2.5
2025-11-29T13:23:35.042000+00:00,9845,0,47.0,1015.1,25.9,1275,32.6,352,2.5
2025-11-29T13:24:35.021000+00:00,9845,0,47.0,1015.1,25.9,1275,32.6,352,2.5
2025-11-29T13:25:35.037000+00:00,9845,0,47.0,1015.0,25.8,1275,32.3,335,2.6
2025-11-29T13:26:35.028000+00:00,9845,0,47.0,1015.0,25.8,1275,32.3,342,2.7
2025-11-29T13:27:35.041000+00:00,9845,0,48.0,1015.0,25.8,1275,32.2,351,3.0
2025-11-29T13:28:35.033000+00:00,9845,0,48.0,1015.0,25.8,1275,32.4,348,2.9
2025-11-29T13:29:35.038000+00:00,9845,0,48.0,1015.1,25.7,1275,32.5,342,3.0
2025-11-29T13:30:35.030000+00:00,9845,0,48.0,1015.0,25.7,1275,32.5,342,3.1
2025-11-29T13:31:35.038000+00:00,9845,0,48.0,1015.1,25.7,1275,32.5,334,3.2
2025-11-29T13:32:35.041000+00:00,9845,0,48.0,1015.1,25.7,1275,32.3,348,3.4
2025-11-29T13:33:35.043000+00:00,9845,0,49.0,1015.1,25.7,1275,32.3,352,2.5
2025-11-29T13:34:35.028000+00:00,9845,0,48.0,1015.1,25.6,1275,32.2,344,2.3
2025-11-29T13:35:35.032000+00:00,9845,0,48.0,1015.1,25.7,1275,32.3,345,2.1
2025-11-29T13:36:35.045000+00:00,9845,0,48.0,1015.1,25.6,1275,32.3,336,2.3
2025-11-29T13:37:35.044000+00:00,9845,0,48.0,1015.1,25.6,1275,32.2,347,2.7
2025-11-29T13:38:35.035000+00:00,9845,0,48.0,1015.1,25.6,1275,32.1,334,2.7
2025-11-29T13:39:35.047000+00:00,9845,0,48.0,1015.2,25.6,1275,32.1,336,2.4
2025-11-29T13:40:35.057000+00:00,9845,0,48.0,1015.2,25.6,1275,32.1,342,2.1
2025-11-29T13:41:35.048000+00:00,9845,0,48.0,1015.2,25.6,1275,32.1,341,2.6
2025-11-29T13:42:35.048000+00:00,9845,0,48.0,1015.2,25.5,1275,31.9,343,2.5
2025-11-29T13:43:35.052000+00:00,9845,0,48.0,1015.2,25.5,1275,32.2,0,2.3
2025-11-29T13:44:35.049000+00:00,9845,0,48.0,1015.1,25.5,1275,32.2,356,1.9
2025-11-29T13:45:35.040000+00:00,9845,0,48.0,1015.2,25.5,1275,32.1,332,2.7
2025-11-29T13:46:35.047000+00:00,9845,0,48.0,1015.2,25.4,1275,31.9,348,2.1
2025-11-29T13:47:35.067000+00:00,9845,0,48.0,1015.2,25.4,1275,32.1,343,2.4
2025-11-29T13:48:35.053000+00:00,9845,0,48.0,1015.3,25.4,1275,31.8,344,2.3
2025-11-29T13:49:35.059000+00:00,9845,0,48.0,1015.2,25.3,1275,31.8,333,2.8
2025-11-29T13:50:35.069000+00:00,9845,0,49.0,1015.2,25.3,1275,31.8,338,2.7
2025-11-29T13:51:35.085000+00:00,9845,0,49.0,1015.3,25.2,1275,31.6,342,2.4
2025-11-29T13:52:35.071000+00:00,9845,0,49.0,1015.3,25.2,1275,31.5,348,2.9
2025-11-29T13:53:35.054000+00:00,9845,0,49.0,1015.3,25.2,1275,31.5,346,2.5
2025-11-29T13:54:35.055000+00:00,9845,0,49.0,1015.2,25.2,1275,31.4,355,2.4
2025-11-29T13:55:35.069000+00:00,9845,0,49.0,1015.4,25.2,1275,31.6,347,2.7
2025-11-29T13:56:35.065000+00:00,9845,0,49.0,1015.2,25.1,1275,31.7,342,2.3
2025-11-29T13:57:35.059000+00:00,9845,0,49.0,1015.4,25.1,1275,31.7,350,2.5
2025-11-29T13:58:35.060000+00:00,9845,0,49.0,1015.4,25.1,1275,31.4,345,3.0
2025-11-29T13:59:35.065000+00:00,9845,0,50.0,1015.4,25.1,1275,31.4,347,2.4
2025-11-29T14:00:35.063000+00:00,9845,0,50.0,1015.3,25.1,1275,31.4,356,2.2
2025-11-29T14:01:35.054000+00:00,9845,0,50.0,1015.4,25.1,1275,31.4,344,2.7
2025-11-29T14:02:35.069000+00:00,9845,0,50.0,1015.3,25.0,1275,31.3,340,2.6
2025-11-29T14:03:35.070000+00:00,9845,0,50.0,1015.4,25.0,1275,31.3,346,2.8
2025-11-29T14:04:35.068000+00:00,9845,0,50.0,1015.4,25.0,1275,31.2,1,2.3
2025-11-29T14:05:35.095000+00:00,9845,0,50.0,1015.4,25.0,1275,31.3,348,2.5
2025-11-29T14:06:35.079000+00:00,9845,0,50.0,1015.5,25.0,1275,31.4,346,2.4
2025-11-29T14:07:35.057000+00:00,9845,0,50.0,1015.4,25.0,1275,31.2,331,1.5
2025-11-29T14:08:35.072000+00:00,9845,0,50.0,1015.5,25.0,1275,31.0,167,2.1
2025-11-29T14:09:35.065000+00:00,9845,0,50.0,1015.4,25.0,1275,31.0,349,1.7
2025-11-29T14:10:35.078000+00:00,9845,0,50.0,1015.6,25.0,1275,31.1,342,1.7
2025-11-29T14:11:35.066000+00:00,9845,0,50.0,1015.6,24.9,1275,31.1,356,1.8
2025-11-29T14:12:35.073000+00:00,9845,0,50.0,1015.5,24.9,1275,30.9,355,1.3
2025-11-29T14:13:35.290000+00:00,9845,0,50.0,1015.5,24.9,1275,30.9,323,1.5
2025-11-29T14:14:35.076000+00:00,9845,0,51.0,1015.5,24.8,1275,30.9,348,2.1
2025-11-29T14:15:35.081000+00:00,9845,0,50.0,1015.6,24.8,1275,30.9,357,0.9
