date,session_key,driver_number,meeting_key,position
2025-10-18T20:46:53.633000+00:00,9884,4,1271,1
2025-10-18T20:46:53.633000+00:00,9884,27,1271,2
2025-10-18T20:46:53.633000+00:00,9884,81,1271,3
2025-10-18T20:46:53.633000+00:00,9884,14,1271,4
2025-10-18T20:46:53.633000+00:00,9884,1,1271,5
2025-10-18T20:46:53.633000+00:00,9884,23,1271,6
2025-10-18T20:46:53.633000+00:00,9884,63,1271,7
2025-10-18T20:46:53.633000+00:00,9884,44,1271,8
2025-10-18T20:46:53.633000+00:00,9884,6,1271,9
2025-10-18T20:46:53.633000+00:00,9884,87,1271,10
2025-10-18T20:46:53.633000+00:00,9884,31,1271,11
2025-10-18T20:46:53.633000+00:00,9884,5,1271,12
2025-10-18T20:46:53.633000+00:00,9884,22,1271,13
2025-10-18T20:46:53.633000+00:00,9884,18,1271,14
2025-10-18T20:46:53.633000+00:00,9884,30,1271,15
2025-10-18T20:46:53.633000+00:00,9884,43,1271,16
2025-10-18T20:46:53.633000+00:00,9884,10,1271,17
2025-10-18T20:46:53.633000+00:00,9884,12,1271,18
2025-10-18T20:46:53.633000+00:00,9884,55,1271,19
2025-10-18T20:46:53.633000+00:00,9884,16,1271,20
2025-10-18T21:00:04.768000+00:00,9884,4,1271,2
2025-10-18T21:00:04.768000+00:00,9884,27,1271,3
2025-10-18T21:00:04.768000+00:00,9884,81,1271,4
2025-10-18T21:00:04.768000+00:00,9884,14,1271,5
2025-10-18T21:00:04.768000+00:00,9884,1,1271,6
2025-10-18T21:00:04.768000+00:00,9884,23,1271,7
2025-10-18T21:00:04.768000+00:00,9884,63,1271,8
2025-10-18T21:00:04.768000+00:00,9884,44,1271,9
2025-10-18T21:00:04.768000+00:00,9884,6,1271,10
2025-10-18T21:00:04.768000+00:00,9884,87,1271,11
2025-10-18T21:00:04.768000+00:00,9884,31,1271,1
2025-10-18T21:00:11.769000+00:00,9884,4,1271,3
2025-10-18T21:00:11.769000+00:00,9884,27,1271,4
2025-10-18T21:00:11.769000+00:00,9884,81,1271,5
2025-10-18T21:00:11.769000+00:00,9884,14,1271,6
2025-10-18T21:00:11.769000+00:00,9884,1,1271,7
2025-10-18T21:00:11.769000+00:00,9884,23,1271,8
2025-10-18T21:00:11.769000+00:00,9884,63,1271,9
2025-10-18T21:00:11.769000+00:00,9884,44,1271,10
2025-10-18T21:00:11.769000+00:00,9884,6,1271,11
2025-10-18T21:00:11.769000+00:00,9884,87,1271,12
2025-10-18T21:00:11.769000+00:00,9884,5,1271,13
2025-10-18T21:00:11.769000+00:00,9884,22,1271,14
2025-10-18T21:00:11.769000+00:00,9884,18,1271,15
2025-10-18T21:00:11.769000+00:00,9884,30,1271,16
2025-10-18T21:00:11.769000+00:00,9884,43,1271,17
2025-10-18T21:00:11.769000+00:00,9884,10,1271,2
2025-10-18T21:00:21.718000+00:00,9884,4,1271,4
2025-10-18T21:00:21.718000+00:00,9884,27,1271,5
2025-10-18T21:00:21.718000+00:00,9884,81,1271,6
2025-10-18T21:00:21.718000+00:00,9884,14,1271,7
