date,session_key,meeting_key,pressure,wind_speed,humidity,rainfall,air_temperature,track_temperature,wind_direction
2025-11-29T17:48:35.829000+00:00,9846,1275,1016.6,0.9,74.0,0,21.0,26.3,328
2025-11-29T17:49:35.829000+00:00,9846,1275,1016.7,1.0,74.0,0,20.9,26.3,18
2025-11-29T17:50:35.844000+00:00,9846,1275,1016.7,1.0,74.0,0,20.9,26.2,15
2025-11-29T17:51:35.829000+00:00,9846,1275,1016.6,1.2,74.0,0,20.9,26.1,16
2025-11-29T17:52:35.844000+00:00,9846,1275,1016.6,0.9,74.0,0,20.9,26.1,353
2025-11-29T17:53:35.864000+00:00,9846,1275,1016.7,0.9,75.0,0,20.8,26.1,9
2025-11-29T17:54:35.886000+00:00,9846,1275,1016.6,1.1,75.0,0,20.9,26.2,18
2025-11-29T17:55:35.876000+00:00,9846,1275,1016.7,1.2,75.0,0,20.9,26.2,353
2025-11-29T17:56:35.910000+00:00,9846,1275,1016.6,1.0,75.0,0,20.8,26.2,7
2025-11-29T17:57:35.906000+00:00,9846,1275,1016.6,1.1,75.0,0,20.8,26.1,48
2025-11-29T17:58:35.906000+00:00,9846,1275,1016.7,0.9,75.0,0,20.8,26.1,351
2025-11-29T17:59:35.918000+00:00,9846,1275,1016.7,0.7,75.0,0,20.7,25.6,19
2025-11-29T18:00:35.924000+00:00,9846,1275,1016.6,0.9,75.0,0,20.7,25.6,325
2025-11-29T18:01:35.940000+00:00,9846,1275,1016.7,1.2,75.0,0,20.6,25.6,345
2025-11-29T18:02:35.915000+00:00,9846,1275,1016.5,1.3,75.0,0,20.6,25.7,27
2025-11-29T18:03:35.925000+00:00,9846,1275,1016.6,1.0,75.0,0,20.6,25.7,20
2025-11-29T18:04:35.913000+00:00,9846,1275,1016.6,1.1,75.0,0,20.6,25.8,2
2025-11-29T18:05:35.922000+00:00,9846,1275,1016.6,0.9,75.0,0,20.7,25.9,23
2025-11-29T18:06:35.920000+00:00,9846,1275,1016.5,0.9,75.0,0,20.7,26.0,25
2025-11-29T18:07:35.938000+00:00,9846,1275,1016.6,0.6,75.0,0,20.7,26.1,14
2025-11-29T18:08:35.923000+00:00,9846,1275,1016.6,0.7,75.0,0,20.7,26.2,206
2025-11-29T18:09:35.923000+00:00,9846,1275,1016.6,0.5,74.0,0,20.8,26.2,324
2025-11-29T18:10:35.919000+00:00,9846,1275,1016.6,0.6,74.0,0,20.7,26.1,285
2025-11-29T18:11:35.920000+00:00,9846,1275,1016.6,0.7,74.0,0,20.7,25.7,276
2025-11-29T18:12:35.920000+00:00,9846,1275,1016.6,0.7,74.0,0,20.7,25.7,276
2025-11-29T18:13:35.940000+00:00,9846,1275,1016.6,0.7,74.0,0,20.7,25.7,276
2025-11-29T18:14:35.925000+00:00,9846,1275,1016.6,0.5,74.0,0,20.7,26.0,232
2025-11-29T18:15:35.933000+00:00,9846,1275,1016.6,0.8,74.0,0,20.8,26.0,27
2025-11-29T18:16:35.933000+00:00,9846,1275,1016.6,0.7,74.0,0,20.7,26.0,24
2025-11-29T18:17:35.934000+00:00,9846,1275,1016.6,0.7,74.0,0,20.7,26.1,196
2025-11-29T18:18:35.932000+00:00,9846,1275,1016.7,1.1,74.0,0,20.7,25.9,330
2025-11-29T18:19:35.932000+00:00,9846,1275,1016.6,0.5,74.0,0,20.7,25.7,232
2025-11-29T18:20:35.940000+00:00,9846,1275,1016.6,0.8,74.0,0,20.7,25.7,0
2025-11-29T18:21:35.947000+00:00,9846,1275,1016.7,0.0,74.0,0,20.7,25.7,0
2025-11-29T18:22:35.927000+00:00,9846,1275,1016.6,0.5,74.0,0,20.7,25.7,336
2025-11-29T18:23:35.942000+00:00,9846,1275,1016.6,0.6,74.0,0,20.6,25.6,344
2025-11-29T18:24:35.948000+00:00,9846,1275,1016.6,0.8,74.0,0,20.6,25.3,304
2025-11-29T18:25:35.943000+00:00,9846,1275,1016.6,0.9,75.0,0,20.6,25.3,354
2025-11-29T18:26:35.936000+00:00,9846,1275,1016.6,0.6,75.0,0,20.5,25.3,327
2025-11-29T18:27:35.937000+00:00,9846,1275,1016.5,0.7,75.0,0,20.5,25.3,322
2025-11-29T18:28:35.943000+00:00,9846,1275,1016.5,0.7,75.0,0,20.5,25.3,328
2025-11-29T18:29:35.943000+00:00,9846,1275,1016.4,0.7,75.0,0,20.5,25.4,329
2025-11-29T18:30:35.943000+00:00,9846,1275,1016.6,0.7,75.0,0,20.5,25.6,216
2025-11-29T18:31:35.959000+00:00,9846,1275,1016.5,0.3,75.0,0,20.5,25.8,349
2025-11-29T18:32:35.938000+00:00,9846,1275,1016.6,0.8,75.0,0,20.5,25.8,341
2025-11-29T18:33:35.976000+00:00,9846,1275,1016.5,0.6,75.0,0,20.5,25.8,298
2025-11-29T18:34:35.984000+00:00,9846,1275,1016.6,0.7,75.0,0,20.5,25.7,0
2025-11-29T18:35:35.953000+00:00,9846,1275,1016.6,0.0,74.0,0,20.5,25.8,0
2025-11-29T18:36:35.932000+00:00,9846,1275,1016.6,0.6,74.0,0,20.5,25.6,189
2025-11-29T18:37:35.951000+00:00,9846,1275,1016.6,0.8,74.0,0,20.5,25.8,243
