date,session_key,wind_speed,pressure,air_temperature,track_temperature,wind_direction,meeting_key,rainfall,humidity
2025-11-28T13:20:28.293000+00:00,9840,1.2,1016.5,25.7,33.2,345,1275,0,64.0
2025-11-28T13:21:28.306000+00:00,9840,1.2,1016.5,25.7,33.3,310,1275,0,64.0
2025-11-28T13:22:28.296000+00:00,9840,1.3,1016.6,25.6,33.3,340,1275,0,63.0
2025-11-28T13:23:28.317000+00:00,9840,1.1,1016.5,25.6,33.1,325,1275,0,63.0
2025-11-28T13:24:28.296000+00:00,9840,0.8,1016.5,25.5,33.2,33,1275,0,63.0
2025-11-28T13:25:28.312000+00:00,9840,0.9,1016.6,25.6,33.2,311,1275,0,62.0
2025-11-28T13:26:28.306000+00:00,9840,1.1,1016.5,25.6,33.0,302,1275,0,62.0
2025-11-28T13:27:28.309000+00:00,9840,1.0,1016.6,25.5,32.9,328,1275,0,62.0
2025-11-28T13:28:28.307000+00:00,9840,0.8,1016.6,25.6,32.9,343,1275,0,63.0
2025-11-28T13:29:28.309000+00:00,9840,0.9,1016.6,25.7,32.9,326,1275,0,63.0
2025-11-28T13:30:28.308000+00:00,9840,1.0,1016.5,25.8,33.0,331,1275,0,63.0
2025-11-28T13:31:28.319000+00:00,9840,1.3,1016.5,25.8,33.2,337,1275,0,63.0
2025-11-28T13:32:28.319000+00:00,9840,0.9,1016.5,25.9,33.1,329,1275,0,61.0
2025-11-28T13:33:28.307000+00:00,9840,0.9,1016.5,25.9,33.2,342,1275,0,59.0
2025-11-28T13:34:28.315000+00:00,9840,0.5,1016.6,25.9,33.8,0,1275,0,59.0
2025-11-28T13:35:28.302000+00:00,9840,0.5,1016.5,26.0,34.5,129,1275,0,55.0
2025-11-28T13:36:28.312000+00:00,9840,0.6,1016.5,26.0,34.5,340,1275,0,51.0
2025-11-28T13:37:28.307000+00:00,9840,1.2,1016.5,26.0,34.2,351,1275,0,49.0
2025-11-28T13:38:28.322000+00:00,9840,2.2,1016.5,26.1,33.8,340,1275,0,47.0
2025-11-28T13:39:28.325000+00:00,9840,1.5,1016.5,26.2,33.7,353,1275,0,47.0
2025-11-28T13:40:28.331000+00:00,9840,0.6,1016.6,26.3,33.9,230,1275,0,46.0
2025-11-28T13:41:28.337000+00:00,9840,0.7,1016.6,26.4,33.8,0,1275,0,47.0
2025-11-28T13:42:28.341000+00:00,9840,0.9,1016.7,26.4,33.8,0,1275,0,46.0
2025-11-28T13:43:28.352000+00:00,9840,0.0,1016.7,26.4,33.7,101,1275,0,47.0
2025-11-28T13:44:28.381000+00:00,9840,0.7,1016.6,26.3,33.3,0,1275,0,47.0
2025-11-28T13:45:28.388000+00:00,9840,0.6,1016.7,26.3,33.3,224,1275,0,47.0
2025-11-28T13:46:28.372000+00:00,9840,0.0,1016.7,26.3,33.3,283,1275,0,47.0
2025-11-28T13:47:28.401000+00:00,9840,0.5,1016.7,26.3,33.2,26,1275,0,47.0
2025-11-28T13:48:28.390000+00:00,9840,0.6,1016.7,26.3,33.2,345,1275,0,47.0
2025-11-28T13:49:28.403000+00:00,9840,1.1,1016.7,26.3,32.8,1,1275,0,48.0
2025-11-28T13:50:28.428000+00:00,9840,0.9,1016.7,26.3,32.8,343,1275,0,47.0
2025-11-28T13:51:28.425000+00:00,9840,0.7,1016.7,26.2,32.8,330,1275,0,47.0
2025-11-28T13:52:28.425000+00:00,9840,1.8,1016.7,26.2,32.5,346,1275,0,47.0
2025-11-28T13:53:28.424000+00:00,9840,2.2,1016.8,26.2,32.5,332,1275,0,47.0
2025-11-28T13:54:28.422000+00:00,9840,2.2,1016.7,26.1,32.5,342,1275,0,47.0
2025-11-28T13:55:28.443000+00:00,9840,1.8,1016.8,26.1,32.6,340,1275,0,47.0
2025-11-28T13:56:28.460000+00:00,9840,2.1,1016.8,26.1,32.5,350,1275,0,47.0
2025-11-28T13:57:28.466000+00:00,9840,1.4,1016.7,26.1,32.4,14,1275,0,47.0
2025-11-28T13:58:28.461000+00:00,9840,2.4,1016.8,26.1,32.4,333,1275,0,47.0
2025-11-28T13:59:28.525000+00:00,9840,1.2,1016.9,26.1,32.2,346,1275,0,47.0
2025-11-28T14:00:28.549000+00:00,9840,1.5,1016.9,26.1,32.2,341,1275,0,48.0
2025-11-28T14:01:28.547000+00:00,9840,2.2,1016.8,26.0,32.2,325,1275,0,47.0
2025-11-28T14:02:28.558000+00:00,9840,1.3,1016.8,26.0,32.0,330,1275,0,48.0
2025-11-28T14:03:28.558000+00:00,9840,1.5,1016.9,26.0,32.1,353,1275,0,48.0
2025-11-28T14:04:28.558000+00:00,9840,1.2,1016.9,26.0,32.1,335,1275,0,47.0
2025-11-28T14:05:28.559000+00:00,9840,1.5,1016.9,26.0,32.1,276,1275,0,47.0
2025-11-28T14:06:28.575000+00:00,9840,1.0,1016.9,26.0,32.1,328,1275,0,47.0
2025-11-28T14:07:28.587000+00:00,9840,0.8,1017.0,25.9,32.1,350,1275,0,47.0
2025-11-28T14:08:28.581000+00:00,9840,1.6,1017.0,25.9,31.9,301,1275,0,47.0
2025-11-28T14:09:28.587000+00:00,9840,1.3,1016.9,25.9,31.9,356,1275,0,48.0
2025-11-28T14:10:28.587000+00:00,9840,1.5,1016.9,25.9,31.8,335,1275,0,48.0
2025-11-28T14:11:28.587000+00:00,9840,2.1,1017.0,25.8,31.3,359,1275,0,48.0
2025-11-28T14:12:28.599000+00:00,9840,2.1,1016.9,25.8,31.5,359,1275,0,48.0
2025-11-28T14:13:28.592000+00:00,9840,1.6,1017.0,25.8,31.6,349,1275,0,48.0
2025-11-28T14:14:28.627000+00:00,9840,2.0,1016.9,25.7,31.6,355,1275,0,48.0
2025-11-28T14:15:28.602000+00:00,9840,1.9,1016.9,25.7,31.6,357,1275,0,48.0
2025-11-28T14:16:28.610000+00:00,9840,1.7,1017.0,25.7,31.4,339,1275,0,48.0
2025-11-28T14:17:28.599000+00:00,9840,1.1,1017.1,25.6,31.3,345,1275,0,48.0
2025-11-28T14:18:28.598000+00:00,9840,2.2,1017.0,25.5,31.3,338,1275,0,48.0
2025-11-28T14:19:28.599000+00:00,9840,2.0,1017.0,25.5,31.2,337,1275,0,48.0
2025-11-28T14:20:28.599000+00:00,9840,2.0,1017.1,25.5,31.2,337,1275,0,49.0
2025-11-28T14:21:28.600000+00:00,9840,2.0,1017.0,25.5,31.2,351,1275,0,49.0
2025-11-28T14:22:28.612000+00:00,9840,2.5,1017.1,25.5,31.1,345,1275,0,49.0
2025-11-28T14:23:28.600000+00:00,9840,1.3,1017.0,25.4,31.2,333,1275,0,49.0
2025-11-28T14:24:28.622000+00:00,9840,1.1,1017.1,25.4,31.2,0,1275,0,49.0
2025-11-28T14:25:28.619000+00:00,9840,1.5,1017.1,25.4,31.2,22,1275,0,49.0
2025-11-28T14:26:28.614000+00:00,9840,1.3,1017.1,25.4,31.2,317,1275,0,49.0
2025-11-28T14:27:28.614000+00:00,9840,1.2,1017.2,25.4,31.2,31,1275,0,49.0
2025-11-28T14:28:28.630000+00:00,9840,1.2,1017.1,25.4,31.2,343,1275,0,49.0
2025-11-28T14:29:28.642000+00:00,9840,1.3,1017.2,25.3,31.0,326,1275,0,49.0
2025-11-28T14:30:28.638000+00:00,9840,1.2,1017.1,25.3,31.0,335,1275,0,49.0
2025-11-28T14:31:28.654000+00:00,9840,1.6,1017.1,25.3,31.0,289,1275,0,49.0
2025-11-28T14:32:28.681000+00:00,9840,0.8,1017.1,25.3,31.0,316,1275,0,49.0
2025-11-28T14:33:28.709000+00:00,9840,1.0,1017.3,25.2,31.0,358,1275,0,50.0
2025-11-28T14:34:28.742000+00:00,9840,1.3,1017.2,25.2,30.9,353,1275,0,50.0
2025-11-28T14:35:28.656000+00:00,9840,1.4,1017.2,25.1,30.8,350,1275,0,50.0
2025-11-28T14:36:28.671000+00:00,9840,1.7,1017.2,25.1,30.8,346,1275,0,50.0
