meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1275,9841,1,1,,,29.783,26.131,243.0,262,True,,"[2064, 2064, 2051, 2051, 2051, 2049, 2049, 2051, 2051]","[2051, 2051, 2051, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]",130
1275,9841,10,1,2025-11-28T17:30:07.596000+00:00,,31.396,27.557,223.0,263,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",103
1275,9841,22,1,2025-11-28T17:30:13.784000+00:00,,29.982,28.893,232.0,267,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",76
1275,9841,16,1,2025-11-28T17:30:17.440000+00:00,,30.982,25.888,221.0,266,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2049, 2049, 2049]",44
1275,9841,44,1,2025-11-28T17:30:32.247000+00:00,,32.631,26.411,216.0,261,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",77
1275,9841,55,1,2025-11-28T17:30:38.057000+00:00,,31.451,28.209,227.0,267,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]",54
1275,9841,31,1,2025-11-28T17:30:45.747000+00:00,,31.759,26.33,223.0,261,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",90
1275,9841,87,1,2025-11-28T17:30:56.591000+00:00,,30.476,26.332,226.0,263,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",93
1275,9841,43,1,2025-11-28T17:30:58.461000+00:00,,32.026,29.332,227.0,261,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",105
1275,9841,6,1,2025-11-28T17:31:09.118000+00:00,,33.436,28.631,233.0,259,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",127
1275,9841,23,1,2025-11-28T17:31:17.362000+00:00,,34.016,27.949,211.0,134,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",62
1275,9841,4,1,2025-11-28T17:31:26.371000+00:00,,31.077,32.366,218.0,267,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",102
1275,9841,1,2,2025-11-28T17:31:32.684000+00:00,30.286,27.98,23.992,247.0,289,False,82.258,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2048, 2049]",317
1275,9841,81,1,2025-11-28T17:31:33.707000+00:00,,38.698,27.143,114.0,269,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",97
1275,9841,10,2,2025-11-28T17:31:45.083000+00:00,30.947,28.385,24.503,246.0,286,False,83.835,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",320
1275,9841,27,1,2025-11-28T17:31:45.385000+00:00,,34.312,30.242,229.0,270,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",155
1275,9841,5,1,2025-11-28T17:31:51.806000+00:00,,33.593,28.879,225.0,267,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",124
1275,9841,22,2,2025-11-28T17:31:52.046000+00:00,30.444,28.122,24.127,247.0,288,False,82.693,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049]",320
1275,9841,18,1,2025-11-28T17:31:57.347000+00:00,,30.327,27.475,221.0,266,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",85
1275,9841,16,2,2025-11-28T17:32:00.057000+00:00,30.428,27.785,24.14,251.0,290,False,82.353,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2051]","[2049, 2049, 2049, 2051, 2051, 2049, 2051]","[2051, 2051, 2049, 2049, 2049, 2049, 2051, 2051]",321
1275,9841,14,1,2025-11-28T17:32:09.609000+00:00,,33.91,26.978,113.0,275,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",117
1275,9841,44,2,2025-11-28T17:32:11.766000+00:00,30.838,28.1,24.405,247.0,288,False,83.343,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",316
1275,9841,55,2,2025-11-28T17:32:18.594000+00:00,30.645,28.03,24.38,246.0,288,False,83.055,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",321
1275,9841,31,2,2025-11-28T17:32:26.359000+00:00,30.443,27.937,24.439,245.0,291,False,82.819,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",322
1275,9841,87,2,2025-11-28T17:32:33.762000+00:00,30.359,28.021,24.23,250.0,290,False,82.61,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",321
