meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1276,9833,10,1,,,43.584,37.862,264.0,279,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051]",291
1276,9833,30,1,,,45.991,42.415,259.0,256,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",210
1276,9833,23,1,2025-12-05T13:00:09.481000+00:00,,43.474,41.258,274.0,298,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2051, 2051, 2051, 2049, 2049, 2049, 2051, 2049, 2051, 2051]",312
1276,9833,43,1,2025-12-05T13:00:21.073000+00:00,,42.696,42.691,257.0,285,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",302
1276,9833,18,1,2025-12-05T13:00:24.755000+00:00,,41.279,43.701,261.0,203,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049, 2049]",290
1276,9833,22,1,2025-12-05T13:00:28.695000+00:00,,43.995,39.387,253.0,254,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",278
1276,9833,44,1,2025-12-05T13:00:35.205000+00:00,,48.281,39.759,248.0,235,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]",224
1276,9833,12,1,2025-12-05T13:00:43.008000+00:00,,45.546,39.54,241.0,252,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]",246
1276,9833,55,1,2025-12-05T13:00:53.879000+00:00,,49.277,37.437,276.0,295,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",291
1276,9833,16,1,2025-12-05T13:01:02.432000+00:00,,48.174,37.578,251.0,263,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2051, 2049]",192
1276,9833,14,1,2025-12-05T13:01:10.180000+00:00,,45.883,40.675,260.0,279,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]",303
1276,9833,4,1,2025-12-05T13:01:20.108000+00:00,,47.186,43.233,234.0,170,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",257
1276,9833,87,1,2025-12-05T13:01:26.873000+00:00,,49.823,39.15,247.0,242,True,,"[2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",192
