date,session_key,meeting_key,air_temperature,pressure,track_temperature,rainfall,wind_direction,wind_speed,humidity
2025-11-08T14:10:08.346000+00:00,9864,1273,22.9,919.5,26.0,0,61,1.5,74.0
2025-11-08T14:11:08.348000+00:00,9864,1273,22.9,919.6,26.5,0,29,1.3,74.0
2025-11-08T14:12:08.406000+00:00,9864,1273,23.0,919.5,26.7,0,40,2.2,73.0
2025-11-08T14:13:08.357000+00:00,9864,1273,23.0,919.5,26.7,0,33,2.9,73.0
2025-11-08T14:14:08.378000+00:00,9864,1273,23.0,919.6,26.8,0,59,2.7,73.0
2025-11-08T14:15:08.393000+00:00,9864,1273,23.0,919.5,26.9,0,13,2.3,72.0
2025-11-08T14:16:08.412000+00:00,9864,1273,23.1,919.6,27.3,0,0,1.6,73.0
2025-11-08T14:17:08.408000+00:00,9864,1273,23.2,919.6,27.9,0,36,0.9,72.0
2025-11-08T14:18:08.434000+00:00,9864,1273,23.3,919.5,28.0,0,122,1.5,71.0
2025-11-08T14:19:08.427000+00:00,9864,1273,23.3,919.5,28.1,0,91,1.3,70.0
2025-11-08T14:20:08.427000+00:00,9864,1273,23.4,919.5,28.1,0,17,1.7,70.0
2025-11-08T14:21:08.442000+00:00,9864,1273,23.4,919.5,28.0,0,6,1.6,71.0
2025-11-08T14:22:08.458000+00:00,9864,1273,23.4,919.5,28.1,0,9,1.1,70.0
2025-11-08T14:23:08.465000+00:00,9864,1273,23.4,919.4,28.4,0,20,1.5,69.0
2025-11-08T14:24:08.469000+00:00,9864,1273,23.5,919.4,28.0,0,33,2.9,69.0
2025-11-08T14:25:08.468000+00:00,9864,1273,23.4,919.4,28.0,0,15,2.2,71.0
2025-11-08T14:26:08.475000+00:00,9864,1273,23.4,919.2,28.0,0,49,2.0,70.0
2025-11-08T14:27:08.468000+00:00,9864,1273,23.4,919.2,28.2,0,23,2.3,70.0
2025-11-08T14:28:08.501000+00:00,9864,1273,23.4,919.2,28.3,0,46,2.7,70.0
2025-11-08T14:29:08.498000+00:00,9864,1273,23.5,919.3,28.3,0,48,2.4,70.0
2025-11-08T14:30:08.514000+00:00,9864,1273,23.4,919.2,28.5,0,45,2.2,69.0
