date,session_key,meeting_key,track_temperature,pressure,wind_direction,wind_speed,humidity,rainfall,air_temperature
2025-12-06T13:47:02.017000+00:00,9835,1276,29.8,1016.9,342,1.4,75.0,0,25.2
2025-12-06T13:48:02.036000+00:00,9835,1276,29.9,1017.0,288,1.0,75.0,0,25.2
2025-12-06T13:49:02.023000+00:00,9835,1276,29.9,1017.0,353,1.1,75.0,0,25.2
2025-12-06T13:50:02.033000+00:00,9835,1276,29.9,1017.0,287,1.1,75.0,0,25.2
2025-12-06T13:51:02.029000+00:00,9835,1276,29.9,1017.0,283,1.1,75.0,0,25.2
2025-12-06T13:52:02.033000+00:00,9835,1276,29.9,1017.1,324,1.4,75.0,0,25.2
2025-12-06T13:53:02.030000+00:00,9835,1276,29.8,1017.1,350,1.9,75.0,0,25.2
2025-12-06T13:54:02.040000+00:00,9835,1276,29.7,1017.0,285,1.3,75.0,0,25.2
2025-12-06T13:55:02.040000+00:00,9835,1276,29.8,1017.1,306,1.7,75.0,0,25.2
2025-12-06T13:56:02.047000+00:00,9835,1276,29.6,1017.0,290,1.6,76.0,0,25.2
2025-12-06T13:57:02.040000+00:00,9835,1276,29.7,1017.1,327,1.6,75.0,0,25.2
2025-12-06T13:58:02.040000+00:00,9835,1276,29.6,1017.1,313,1.1,76.0,0,25.2
2025-12-06T13:59:02.041000+00:00,9835,1276,29.7,1017.1,299,1.6,76.0,0,25.2
2025-12-06T14:00:02.035000+00:00,9835,1276,29.7,1017.1,31,0.8,76.0,0,25.2
2025-12-06T14:01:02.043000+00:00,9835,1276,29.7,1017.1,279,1.0,76.0,0,25.2
2025-12-06T14:02:02.047000+00:00,9835,1276,29.7,1017.1,275,1.1,76.0,0,25.2
2025-12-06T14:03:02.045000+00:00,9835,1276,29.6,1017.1,279,1.6,76.0,0,25.2
2025-12-06T14:04:02.041000+00:00,9835,1276,29.4,1017.0,281,1.6,76.0,0,25.1
2025-12-06T14:05:02.041000+00:00,9835,1276,29.5,1017.1,291,1.6,76.0,0,25.2
2025-12-06T14:06:02.068000+00:00,9835,1276,29.5,1017.1,280,1.3,76.0,0,25.2
2025-12-06T14:07:02.091000+00:00,9835,1276,29.3,1017.1,281,1.2,76.0,0,25.2
2025-12-06T14:08:02.083000+00:00,9835,1276,29.3,1017.1,269,1.8,77.0,0,25.2
2025-12-06T14:09:02.076000+00:00,9835,1276,29.3,1017.1,271,1.6,77.0,0,25.2
2025-12-06T14:10:02.087000+00:00,9835,1276,29.4,1017.2,289,1.3,77.0,0,25.2
2025-12-06T14:11:02.088000+00:00,9835,1276,29.5,1017.1,295,1.5,77.0,0,25.2
2025-12-06T14:12:02.077000+00:00,9835,1276,29.4,1017.1,349,1.2,76.0,0,25.2
2025-12-06T14:13:02.073000+00:00,9835,1276,29.4,1017.1,356,0.7,76.0,0,25.2
2025-12-06T14:14:02.091000+00:00,9835,1276,29.2,1017.2,355,1.0,77.0,0,25.2
2025-12-06T14:15:02.091000+00:00,9835,1276,29.1,1017.1,315,0.8,77.0,0,25.2
2025-12-06T14:16:02.090000+00:00,9835,1276,29.0,1017.1,359,0.7,77.0,0,25.1
2025-12-06T14:17:02.092000+00:00,9835,1276,29.1,1017.1,295,0.9,77.0,0,25.1
2025-12-06T14:18:02.091000+00:00,9835,1276,29.3,1017.2,281,1.1,77.0,0,25.1
2025-12-06T14:19:02.094000+00:00,9835,1276,29.3,1017.1,306,1.2,77.0,0,25.2
2025-12-06T14:20:02.093000+00:00,9835,1276,29.5,1017.2,289,1.6,76.0,0,25.2
2025-12-06T14:21:02.093000+00:00,9835,1276,29.5,1017.2,285,1.5,76.0,0,25.1
2025-12-06T14:22:02.095000+00:00,9835,1276,29.2,1017.2,311,0.5,76.0,0,25.2
2025-12-06T14:23:02.093000+00:00,9835,1276,29.0,1017.2,290,1.1,76.0,0,25.2
2025-12-06T14:24:02.114000+00:00,9835,1276,28.9,1017.1,305,0.9,77.0,0,25.2
2025-12-06T14:25:02.132000+00:00,9835,1276,28.7,1017.2,285,0.9,77.0,0,25.1
2025-12-06T14:26:02.146000+00:00,9835,1276,28.6,1017.3,291,1.2,77.0,0,25.1
2025-12-06T14:27:02.163000+00:00,9835,1276,28.6,1017.2,287,1.2,77.0,0,25.0
2025-12-06T14:28:02.183000+00:00,9835,1276,28.7,1017.2,290,1.1,78.0,0,25.0
2025-12-06T14:29:02.211000+00:00,9835,1276,28.7,1017.2,289,1.0,78.0,0,25.0
2025-12-06T14:30:02.211000+00:00,9835,1276,28.7,1017.2,282,1.0,78.0,0,25.0
2025-12-06T14:31:02.241000+00:00,9835,1276,28.8,1017.3,284,1.5,78.0,0,25.0
2025-12-06T14:32:02.239000+00:00,9835,1276,28.8,1017.2,285,1.5,78.0,0,25.0
2025-12-06T14:33:02.231000+00:00,9835,1276,28.9,1017.2,278,1.1,77.0,0,25.0
2025-12-06T14:34:02.233000+00:00,9835,1276,29.0,1017.2,273,1.2,77.0,0,25.0
2025-12-06T14:35:02.237000+00:00,9835,1276,28.9,1017.2,290,1.0,77.0,0,25.1
2025-12-06T14:36:02.235000+00:00,9835,1276,28.9,1017.2,0,1.0,77.0,0,25.1
2025-12-06T14:37:02.232000+00:00,9835,1276,28.9,1017.2,280,0.5,77.0,0,25.0
2025-12-06T14:38:02.245000+00:00,9835,1276,28.9,1017.2,303,1.1,77.0,0,25.0
2025-12-06T14:39:02.240000+00:00,9835,1276,28.9,1017.3,292,0.9,77.0,0,25.0
2025-12-06T14:40:02.235000+00:00,9835,1276,28.9,1017.3,282,1.5,77.0,0,25.0
2025-12-06T14:41:02.242000+00:00,9835,1276,29.1,1017.3,285,1.4,77.0,0,25.0
2025-12-06T14:42:02.245000+00:00,9835,1276,29.1,1017.4,281,1.5,77.0,0,25.0
2025-12-06T14:43:02.233000+00:00,9835,1276,29.0,1017.4,289,1.1,76.0,0,25.1
2025-12-06T14:44:02.238000+00:00,9835,1276,28.9,1017.3,38,1.4,76.0,0,25.1
2025-12-06T14:45:02.248000+00:00,9835,1276,28.8,1017.3,282,0.9,77.0,0,25.1
2025-12-06T14:46:02.925000+00:00,9835,1276,28.8,1017.3,279,0.7,77.0,0,25.0
2025-12-06T14:47:02.233000+00:00,9835,1276,28.7,1017.4,277,1.3,77.0,0,25.0
2025-12-06T14:48:02.249000+00:00,9835,1276,28.5,1017.3,284,1.3,77.0,0,25.0
2025-12-06T14:49:02.248000+00:00,9835,1276,28.5,1017.3,283,0.9,77.0,0,25.0
2025-12-06T14:50:02.248000+00:00,9835,1276,28.5,1017.3,285,0.9,78.0,0,25.0
2025-12-06T14:51:02.260000+00:00,9835,1276,28.5,1017.4,276,1.0,78.0,0,25.0
2025-12-06T14:52:02.283000+00:00,9835,1276,28.5,1017.4,283,0.8,78.0,0,24.9
2025-12-06T14:53:02.286000+00:00,9835,1276,28.6,1017.4,276,1.1,78.0,0,24.9
2025-12-06T14:54:02.281000+00:00,9835,1276,28.7,1017.3,254,0.8,78.0,0,25.0
2025-12-06T14:55:02.294000+00:00,9835,1276,28.6,1017.3,269,0.7,78.0,0,25.0
2025-12-06T14:56:02.295000+00:00,9835,1276,28.6,1017.3,269,0.7,78.0,0,25.0
2025-12-06T14:57:02.291000+00:00,9835,1276,28.6,1017.4,294,0.8,78.0,0,25.0
2025-12-06T14:58:02.299000+00:00,9835,1276,28.5,1017.4,287,0.9,78.0,0,25.0
2025-12-06T14:59:02.303000+00:00,9835,1276,28.5,1017.4,311,1.0,78.0,0,24.9
2025-12-06T15:00:02.288000+00:00,9835,1276,28.5,1017.4,311,1.0,78.0,0,24.9
2025-12-06T15:01:02.296000+00:00,9835,1276,28.6,1017.4,286,0.6,78.0,0,25.0
2025-12-06T15:02:02.317000+00:00,9835,1276,28.8,1017.5,278,0.9,77.0,0,25.0
2025-12-06T15:03:02.321000+00:00,9835,1276,28.7,1017.4,18,1.3,77.0,0,25.0
