date,session_key,driver_number,position,meeting_key
2025-11-09T16:06:27.529000+00:00,9869,4,1,1273
2025-11-09T16:06:27.529000+00:00,9869,12,2,1273
2025-11-09T16:06:27.529000+00:00,9869,16,3,1273
2025-11-09T16:06:27.529000+00:00,9869,81,4,1273
2025-11-09T16:06:27.529000+00:00,9869,6,5,1273
2025-11-09T16:06:27.529000+00:00,9869,63,6,1273
2025-11-09T16:06:27.529000+00:00,9869,30,7,1273
2025-11-09T16:06:27.529000+00:00,9869,87,8,1273
2025-11-09T16:06:27.529000+00:00,9869,10,9,1273
2025-11-09T16:06:27.529000+00:00,9869,27,10,1273
2025-11-09T16:06:27.529000+00:00,9869,14,11,1273
2025-11-09T16:06:27.529000+00:00,9869,23,12,1273
2025-11-09T16:06:27.529000+00:00,9869,44,13,1273
2025-11-09T16:06:27.529000+00:00,9869,18,14,1273
2025-11-09T16:06:27.529000+00:00,9869,55,15,1273
2025-11-09T16:06:27.529000+00:00,9869,43,16,1273
2025-11-09T16:06:27.529000+00:00,9869,22,17,1273
2025-11-09T16:06:27.529000+00:00,9869,5,18,1273
2025-11-09T16:06:27.529000+00:00,9869,1,19,1273
2025-11-09T16:06:27.529000+00:00,9869,31,20,1273
2025-11-09T17:03:23.462000+00:00,9869,63,7,1273
2025-11-09T17:03:23.462000+00:00,9869,30,6,1273
2025-11-09T17:03:24.424000+00:00,9869,44,14,1273
2025-11-09T17:03:24.424000+00:00,9869,18,15,1273
2025-11-09T17:03:24.424000+00:00,9869,55,13,1273
2025-11-09T17:03:24.733000+00:00,9869,43,17,1273
2025-11-09T17:03:24.733000+00:00,9869,22,16,1273
2025-11-09T17:03:29.818000+00:00,9869,44,15,1273
2025-11-09T17:03:29.818000+00:00,9869,18,16,1273
2025-11-09T17:03:29.818000+00:00,9869,22,14,1273
2025-11-09T17:03:29.872000+00:00,9869,44,16,1273
2025-11-09T17:03:29.872000+00:00,9869,18,15,1273
2025-11-09T17:03:30.144000+00:00,9869,44,17,1273
2025-11-09T17:03:30.144000+00:00,9869,43,16,1273
2025-11-09T17:03:31.899000+00:00,9869,87,9,1273
2025-11-09T17:03:31.899000+00:00,9869,10,8,1273
2025-11-09T17:03:32.199000+00:00,9869,27,11,1273
2025-11-09T17:03:32.199000+00:00,9869,14,10,1273
2025-11-09T17:03:33.750000+00:00,9869,44,18,1273
