date,session_key,rainfall,humidity,pressure,meeting_key,air_temperature,track_temperature,wind_direction,wind_speed
2025-11-28T17:17:29.277000+00:00,9841,0,64.0,1017.7,1275,21.8,26.5,9,1.2
2025-11-28T17:18:29.268000+00:00,9841,0,64.0,1017.8,1275,21.8,26.5,2,1.2
2025-11-28T17:19:29.283000+00:00,9841,0,64.0,1017.7,1275,21.7,26.3,333,1.5
2025-11-28T17:20:29.269000+00:00,9841,0,64.0,1017.7,1275,21.7,26.2,354,1.3
2025-11-28T17:21:29.282000+00:00,9841,0,64.0,1017.7,1275,21.6,26.2,16,1.2
2025-11-28T17:22:29.282000+00:00,9841,0,64.0,1017.6,1275,21.6,26.3,351,1.3
2025-11-28T17:23:29.278000+00:00,9841,0,64.0,1017.7,1275,21.6,26.3,359,1.2
2025-11-28T17:24:29.266000+00:00,9841,0,64.0,1017.8,1275,21.6,26.3,356,1.2
2025-11-28T17:25:29.279000+00:00,9841,0,64.0,1017.8,1275,21.6,26.2,332,1.1
2025-11-28T17:26:29.279000+00:00,9841,0,64.0,1017.8,1275,21.6,26.1,332,1.1
2025-11-28T17:27:29.274000+00:00,9841,0,65.0,1017.7,1275,21.6,26.1,341,1.0
2025-11-28T17:28:29.274000+00:00,9841,0,65.0,1017.7,1275,21.6,26.1,350,1.1
2025-11-28T17:29:29.311000+00:00,9841,0,65.0,1017.7,1275,21.6,26.1,325,1.2
2025-11-28T17:30:29.284000+00:00,9841,0,65.0,1017.8,1275,21.6,26.3,353,1.3
2025-11-28T17:31:29.283000+00:00,9841,0,65.0,1017.8,1275,21.6,26.4,13,1.3
2025-11-28T17:32:29.297000+00:00,9841,0,65.0,1017.8,1275,21.6,26.2,327,1.3
2025-11-28T17:33:29.288000+00:00,9841,0,65.0,1017.6,1275,21.6,26.2,338,0.9
2025-11-28T17:34:29.290000+00:00,9841,0,66.0,1017.7,1275,21.6,26.2,322,0.7
2025-11-28T17:35:29.287000+00:00,9841,0,66.0,1017.7,1275,21.6,26.4,21,0.9
2025-11-28T17:36:29.295000+00:00,9841,0,66.0,1017.8,1275,21.6,26.4,281,0.9
2025-11-28T17:37:29.286000+00:00,9841,0,66.0,1017.8,1275,21.6,26.4,34,0.6
2025-11-28T17:38:29.295000+00:00,9841,0,66.0,1017.8,1275,21.6,26.4,33,1.0
2025-11-28T17:39:29.295000+00:00,9841,0,66.0,1017.8,1275,21.6,26.4,3,0.4
2025-11-28T17:40:29.286000+00:00,9841,0,66.0,1017.7,1275,21.6,26.1,29,0.9
2025-11-28T17:41:29.302000+00:00,9841,0,67.0,1017.6,1275,21.6,26.1,28,0.5
2025-11-28T17:42:29.336000+00:00,9841,0,67.0,1017.6,1275,21.6,26.1,22,1.1
