date,session_key,track_temperature,pressure,meeting_key,humidity,wind_direction,wind_speed,air_temperature,rainfall
2025-09-20T09:09:43.810000+00:00,9899,33.1,1012.4,1269,54.0,142,1.9,22.1,0
2025-09-20T09:10:43.804000+00:00,9899,32.4,1012.4,1269,55.0,80,3.0,22.0,0
2025-09-20T09:11:43.801000+00:00,9899,32.0,1012.5,1269,56.0,103,2.1,21.9,0
2025-09-20T09:12:43.802000+00:00,9899,31.7,1012.4,1269,56.0,170,2.2,21.8,0
2025-09-20T09:13:43.807000+00:00,9899,31.7,1012.5,1269,57.0,197,2.2,21.8,0
2025-09-20T09:14:43.801000+00:00,9899,31.3,1012.3,1269,57.0,60,1.9,21.8,0
2025-09-20T09:15:43.820000+00:00,9899,31.3,1012.4,1269,57.0,147,1.5,21.7,0
2025-09-20T09:16:43.803000+00:00,9899,31.3,1012.4,1269,57.0,345,2.6,21.7,0
2025-09-20T09:17:43.836000+00:00,9899,31.1,1012.5,1269,57.0,230,2.8,21.6,0
2025-09-20T09:18:43.852000+00:00,9899,30.8,1012.5,1269,57.0,138,1.1,21.6,0
2025-09-20T09:19:43.849000+00:00,9899,30.8,1012.4,1269,57.0,299,1.9,21.6,0
2025-09-20T09:20:43.852000+00:00,9899,30.3,1012.5,1269,57.0,78,2.3,21.6,0
2025-09-20T09:21:43.867000+00:00,9899,30.4,1012.6,1269,57.0,351,2.5,21.6,0
2025-09-20T09:22:43.873000+00:00,9899,30.4,1012.6,1269,57.0,240,1.8,21.5,0
2025-09-20T09:23:43.869000+00:00,9899,29.9,1012.5,1269,58.0,173,1.6,21.5,0
2025-09-20T09:24:43.875000+00:00,9899,29.9,1012.4,1269,59.0,90,1.8,21.5,0
2025-09-20T09:25:43.871000+00:00,9899,29.8,1012.6,1269,59.0,247,2.5,21.5,0
2025-09-20T09:26:43.872000+00:00,9899,30.0,1012.6,1269,59.0,207,2.9,21.5,0
2025-09-20T09:27:43.872000+00:00,9899,29.9,1012.6,1269,59.0,228,1.1,21.5,0
2025-09-20T09:28:43.896000+00:00,9899,29.9,1012.7,1269,58.0,225,1.7,21.4,0
2025-09-20T09:29:43.884000+00:00,9899,29.7,1012.7,1269,59.0,225,2.0,21.5,0
2025-09-20T09:30:43.903000+00:00,9899,29.5,1012.6,1269,59.0,89,3.1,21.4,0
2025-09-20T09:31:43.929000+00:00,9899,29.3,1012.6,1269,60.0,67,2.8,21.3,0
2025-09-20T09:32:43.909000+00:00,9899,28.9,1012.5,1269,61.0,157,1.8,21.2,0
2025-09-20T09:33:43.914000+00:00,9899,28.6,1012.6,1269,62.0,106,1.7,21.1,0
2025-09-20T09:34:43.920000+00:00,9899,28.6,1012.6,1269,62.0,106,1.9,21.1,0
2025-09-20T09:35:43.916000+00:00,9899,28.6,1012.5,1269,62.0,5,2.3,21.0,0
2025-09-20T09:36:43.925000+00:00,9899,28.4,1012.6,1269,62.0,115,1.7,21.0,0
2025-09-20T09:37:43.930000+00:00,9899,28.4,1012.6,1269,62.0,93,1.1,21.0,0
2025-09-20T09:38:43.909000+00:00,9899,28.6,1012.5,1269,62.0,85,1.0,21.0,0
