date,session_key,air_temperature,track_temperature,wind_direction,meeting_key,humidity,rainfall,wind_speed,pressure
2025-12-05T09:15:55.203000+00:00,9832,27.1,34.4,122,1276,48.0,0,1.0,1017.1
2025-12-05T09:16:55.209000+00:00,9832,27.1,34.4,261,1276,48.0,0,0.7,1017.1
2025-12-05T09:17:55.221000+00:00,9832,27.1,33.9,188,1276,46.0,0,0.6,1017.1
2025-12-05T09:18:55.203000+00:00,9832,27.1,33.9,135,1276,46.0,0,1.1,1017.0
2025-12-05T09:19:55.904000+00:00,9832,27.2,34.1,128,1276,46.0,0,2.0,1017.1
2025-12-05T09:20:55.218000+00:00,9832,27.3,34.4,136,1276,47.0,0,2.0,1017.1
2025-12-05T09:21:55.204000+00:00,9832,27.3,34.6,113,1276,46.0,0,1.9,1017.0
2025-12-05T09:22:55.211000+00:00,9832,27.3,34.5,111,1276,45.0,0,1.2,1017.1
2025-12-05T09:23:55.217000+00:00,9832,27.3,34.6,120,1276,45.0,0,1.4,1017.1
2025-12-05T09:24:55.217000+00:00,9832,27.4,34.9,116,1276,44.0,0,1.7,1017.1
2025-12-05T09:25:55.211000+00:00,9832,27.4,34.9,159,1276,45.0,0,1.1,1017.2
2025-12-05T09:27:02.723000+00:00,9832,27.5,35.0,209,1276,44.0,0,1.1,1017.1
2025-12-05T09:27:55.209000+00:00,9832,27.6,35.0,226,1276,44.0,0,1.3,1017.1
2025-12-05T09:28:55.219000+00:00,9832,27.6,35.0,148,1276,44.0,0,1.4,1017.0
2025-12-05T09:29:55.217000+00:00,9832,27.7,35.0,170,1276,44.0,0,1.2,1017.0
2025-12-05T09:30:55.842000+00:00,9832,27.7,35.0,135,1276,44.0,0,1.1,1017.0
2025-12-05T09:31:55.208000+00:00,9832,27.7,34.9,222,1276,45.0,0,1.5,1017.1
2025-12-05T09:32:56.561000+00:00,9832,27.9,34.7,239,1276,45.0,0,1.2,1017.1
2025-12-05T09:33:55.661000+00:00,9832,27.9,34.0,231,1276,46.0,0,1.1,1017.2
2025-12-05T09:34:55.759000+00:00,9832,27.9,34.0,239,1276,45.0,0,1.1,1017.2
2025-12-05T09:35:55.853000+00:00,9832,27.9,33.9,246,1276,45.0,0,1.2,1017.2
2025-12-05T09:36:55.225000+00:00,9832,27.9,34.0,248,1276,45.0,0,1.4,1017.2
2025-12-05T09:37:55.229000+00:00,9832,27.9,33.8,260,1276,44.0,0,2.2,1017.2
2025-12-05T09:38:55.689000+00:00,9832,27.9,33.5,290,1276,45.0,0,1.1,1017.2
2025-12-05T09:39:55.223000+00:00,9832,27.8,33.5,260,1276,45.0,0,0.8,1017.0
2025-12-05T09:40:55.951000+00:00,9832,27.8,33.7,241,1276,44.0,0,1.4,1017.1
2025-12-05T09:41:55.227000+00:00,9832,27.7,33.4,271,1276,45.0,0,1.0,1017.0
2025-12-05T09:42:55.223000+00:00,9832,27.7,33.1,266,1276,46.0,0,1.2,1016.9
2025-12-05T09:43:55.230000+00:00,9832,27.8,33.3,244,1276,45.0,0,1.6,1017.0
2025-12-05T09:44:55.876000+00:00,9832,27.7,33.5,291,1276,44.0,0,1.7,1016.8
2025-12-05T09:45:55.963000+00:00,9832,27.8,33.5,258,1276,44.0,0,1.9,1016.8
2025-12-05T09:46:55.551000+00:00,9832,27.9,33.4,240,1276,44.0,0,1.0,1016.9
2025-12-05T09:47:55.641000+00:00,9832,27.9,33.3,240,1276,44.0,0,0.8,1017.0
2025-12-05T09:48:55.720000+00:00,9832,27.9,33.4,235,1276,44.0,0,1.6,1016.9
2025-12-05T09:49:55.287000+00:00,9832,27.9,33.3,291,1276,44.0,0,1.2,1016.9
2025-12-05T09:50:55.314000+00:00,9832,27.9,33.2,296,1276,45.0,0,1.1,1016.7
2025-12-05T09:51:55.930000+00:00,9832,27.8,33.3,318,1276,45.0,0,1.5,1016.8
2025-12-05T09:52:55.339000+00:00,9832,27.7,33.2,88,1276,44.0,0,1.0,1016.8
2025-12-05T09:53:55.593000+00:00,9832,27.7,33.2,313,1276,44.0,0,1.0,1016.7
2025-12-05T09:54:55.672000+00:00,9832,27.6,32.9,269,1276,44.0,0,1.0,1016.8
2025-12-05T09:55:55.360000+00:00,9832,27.6,32.9,248,1276,45.0,0,0.7,1016.8
2025-12-05T09:56:55.369000+00:00,9832,27.6,32.9,297,1276,46.0,0,1.5,1016.8
2025-12-05T09:57:55.377000+00:00,9832,27.7,32.9,277,1276,46.0,0,0.6,1016.8
2025-12-05T09:58:55.545000+00:00,9832,27.8,32.8,238,1276,47.0,0,1.3,1016.8
2025-12-05T09:59:55.669000+00:00,9832,27.7,32.8,280,1276,48.0,0,1.6,1016.9
2025-12-05T10:00:55.376000+00:00,9832,27.8,32.8,286,1276,49.0,0,1.8,1016.9
2025-12-05T10:01:55.372000+00:00,9832,27.7,32.9,304,1276,50.0,0,2.2,1016.9
2025-12-05T10:02:55.364000+00:00,9832,27.7,32.8,260,1276,50.0,0,1.1,1016.9
2025-12-05T10:03:55.507000+00:00,9832,27.5,32.9,252,1276,48.0,0,1.2,1016.8
2025-12-05T10:04:56.093000+00:00,9832,27.5,33.1,320,1276,47.0,0,0.9,1016.9
2025-12-05T10:05:55.408000+00:00,9832,27.6,33.4,278,1276,47.0,0,1.0,1016.8
2025-12-05T10:06:55.411000+00:00,9832,27.8,34.0,297,1276,49.0,0,1.4,1016.8
2025-12-05T10:07:55.421000+00:00,9832,27.8,34.2,355,1276,48.0,0,1.6,1016.9
2025-12-05T10:08:56.112000+00:00,9832,27.8,33.6,287,1276,49.0,0,1.8,1016.9
2025-12-05T10:09:55.440000+00:00,9832,27.8,33.4,282,1276,49.0,0,1.6,1016.9
2025-12-05T10:10:55.463000+00:00,9832,27.8,33.6,284,1276,50.0,0,1.9,1016.9
2025-12-05T10:11:55.466000+00:00,9832,27.8,33.7,289,1276,49.0,0,2.1,1016.9
2025-12-05T10:12:55.986000+00:00,9832,27.7,33.9,278,1276,50.0,0,1.9,1016.9
2025-12-05T10:13:55.528000+00:00,9832,27.6,33.9,356,1276,49.0,0,1.6,1017.0
2025-12-05T10:14:55.506000+00:00,9832,27.5,34.0,284,1276,49.0,0,1.0,1016.8
2025-12-05T10:15:55.696000+00:00,9832,27.5,34.3,4,1276,49.0,0,1.5,1017.0
2025-12-05T10:16:55.516000+00:00,9832,27.6,34.2,282,1276,48.0,0,1.4,1017.0
2025-12-05T10:17:55.870000+00:00,9832,27.5,34.1,310,1276,48.0,0,1.0,1016.9
2025-12-05T10:18:55.985000+00:00,9832,27.5,35.1,276,1276,49.0,0,1.1,1016.9
2025-12-05T10:19:56.098000+00:00,9832,27.6,35.2,270,1276,49.0,0,1.1,1016.9
2025-12-05T10:20:56.193000+00:00,9832,27.7,35.7,265,1276,48.0,0,1.0,1016.8
2025-12-05T10:21:55.803000+00:00,9832,27.8,35.7,306,1276,48.0,0,1.3,1016.8
2025-12-05T10:22:55.515000+00:00,9832,28.0,36.2,281,1276,48.0,0,1.7,1016.8
2025-12-05T10:23:55.511000+00:00,9832,28.1,36.3,285,1276,46.0,0,2.2,1016.8
2025-12-05T10:24:55.523000+00:00,9832,28.3,36.2,267,1276,46.0,0,1.7,1016.7
2025-12-05T10:25:55.760000+00:00,9832,28.3,36.2,296,1276,45.0,0,1.8,1016.8
2025-12-05T10:26:55.529000+00:00,9832,28.4,36.4,299,1276,45.0,0,1.8,1016.7
2025-12-05T10:27:55.520000+00:00,9832,28.4,36.4,280,1276,45.0,0,1.7,1016.7
2025-12-05T10:28:56.143000+00:00,9832,28.3,35.9,251,1276,46.0,0,1.8,1016.7
2025-12-05T10:29:55.735000+00:00,9832,28.3,35.6,266,1276,46.0,0,1.6,1016.7
2025-12-05T10:30:56.300000+00:00,9832,28.3,35.7,268,1276,50.0,0,1.6,1016.8
2025-12-05T10:31:55.528000+00:00,9832,28.3,35.5,269,1276,50.0,0,1.5,1016.8
2025-12-05T10:32:55.537000+00:00,9832,28.3,34.7,277,1276,51.0,0,2.3,1016.8
2025-12-05T10:33:55.559000+00:00,9832,28.2,34.5,284,1276,51.0,0,1.6,1016.8
2025-12-05T10:34:55.577000+00:00,9832,28.1,33.8,258,1276,52.0,0,1.7,1016.8
2025-12-05T10:35:55.595000+00:00,9832,27.9,33.6,255,1276,53.0,0,1.6,1016.9
2025-12-05T10:36:55.606000+00:00,9832,27.8,33.6,249,1276,54.0,0,2.1,1016.7
