date,session_key,track_temperature,rainfall,wind_direction,wind_speed,humidity,air_temperature,meeting_key,pressure
2025-11-08T18:41:15.348000+00:00,9865,38.5,0,354,0.4,58.0,25.9,1273,918.4
2025-11-08T18:42:15.347000+00:00,9865,38.0,0,51,0.9,58.0,26.0,1273,918.4
2025-11-08T18:43:15.348000+00:00,9865,38.2,0,139,0.6,57.0,26.0,1273,918.3
2025-11-08T18:44:15.368000+00:00,9865,38.3,0,19,0.8,57.0,26.0,1273,918.3
2025-11-08T18:45:15.377000+00:00,9865,38.3,0,33,1.0,56.0,26.1,1273,918.4
2025-11-08T18:46:15.385000+00:00,9865,38.2,0,343,0.5,57.0,26.1,1273,918.3
2025-11-08T18:47:15.392000+00:00,9865,38.0,0,353,1.0,56.0,26.1,1273,918.4
2025-11-08T18:48:15.400000+00:00,9865,38.1,0,65,0.9,56.0,26.2,1273,918.2
2025-11-08T18:49:15.399000+00:00,9865,38.1,0,12,1.5,55.0,26.3,1273,918.3
2025-11-08T18:50:15.398000+00:00,9865,37.7,0,134,0.5,56.0,26.3,1273,918.3
2025-11-08T18:51:15.384000+00:00,9865,37.2,0,10,0.8,56.0,26.2,1273,918.3
2025-11-08T18:52:15.418000+00:00,9865,37.4,0,19,1.0,55.0,26.2,1273,918.4
2025-11-08T18:53:15.423000+00:00,9865,37.3,0,64,0.7,55.0,26.2,1273,918.3
2025-11-08T18:54:15.427000+00:00,9865,37.3,0,64,0.9,56.0,26.2,1273,918.4
2025-11-08T18:55:15.435000+00:00,9865,37.3,0,33,0.4,55.0,26.2,1273,918.4
2025-11-08T18:56:15.427000+00:00,9865,37.4,0,0,0.9,55.0,26.2,1273,918.4
2025-11-08T18:57:15.432000+00:00,9865,37.1,0,68,0.8,55.0,26.2,1273,918.3
2025-11-08T18:58:15.435000+00:00,9865,37.0,0,56,1.2,55.0,26.1,1273,918.4
2025-11-08T18:59:15.431000+00:00,9865,36.6,0,60,0.8,55.0,26.1,1273,918.4
2025-11-08T19:00:15.432000+00:00,9865,36.4,0,60,0.5,55.0,26.1,1273,918.3
2025-11-08T19:01:15.437000+00:00,9865,36.6,0,345,0.8,55.0,26.1,1273,918.3
2025-11-08T19:02:15.435000+00:00,9865,36.1,0,13,1.1,54.0,26.1,1273,918.4
2025-11-08T19:03:15.444000+00:00,9865,36.1,0,34,0.6,55.0,26.0,1273,918.5
2025-11-08T19:04:15.428000+00:00,9865,36.3,0,18,0.7,55.0,26.1,1273,918.5
2025-11-08T19:05:15.438000+00:00,9865,36.4,0,13,0.8,54.0,26.1,1273,918.5
2025-11-08T19:06:15.442000+00:00,9865,36.3,0,47,1.2,54.0,26.1,1273,918.5
2025-11-08T19:07:15.449000+00:00,9865,36.3,0,53,1.5,54.0,26.1,1273,918.4
