date,session_key,meeting_key,pressure,rainfall,wind_direction,wind_speed,humidity,track_temperature,air_temperature
2025-09-20T12:39:44.526000+00:00,9900,1269,1013.3,0,75,1.9,56.0,26.7,21.2
2025-09-20T12:40:44.532000+00:00,9900,1269,1013.3,0,106,2.4,56.0,26.7,21.1
2025-09-20T12:41:44.554000+00:00,9900,1269,1013.3,0,327,3.0,56.0,26.7,21.0
2025-09-20T12:42:44.555000+00:00,9900,1269,1013.3,0,94,1.9,56.0,26.7,21.0
2025-09-20T12:43:44.553000+00:00,9900,1269,1013.6,0,66,2.3,56.0,26.7,21.0
2025-09-20T12:44:44.567000+00:00,9900,1269,1013.6,0,87,1.4,56.0,27.0,21.0
2025-09-20T12:45:44.557000+00:00,9900,1269,1013.5,0,151,3.4,56.0,26.9,21.0
2025-09-20T12:46:44.567000+00:00,9900,1269,1013.2,0,78,2.6,56.0,27.1,21.0
2025-09-20T12:47:44.566000+00:00,9900,1269,1013.4,0,30,2.2,56.0,27.1,21.0
2025-09-20T12:48:44.571000+00:00,9900,1269,1013.6,0,244,2.4,56.0,27.4,21.0
2025-09-20T12:49:44.562000+00:00,9900,1269,1013.5,0,178,2.1,57.0,27.3,20.9
2025-09-20T12:50:44.584000+00:00,9900,1269,1013.6,0,244,2.1,57.0,27.4,20.9
2025-09-20T12:51:44.587000+00:00,9900,1269,1013.5,0,327,0.9,57.0,27.4,20.9
2025-09-20T12:52:44.599000+00:00,9900,1269,1013.6,0,91,3.1,57.0,27.0,21.0
2025-09-20T12:53:44.602000+00:00,9900,1269,1013.5,0,21,2.5,57.0,27.0,20.9
2025-09-20T12:54:44.600000+00:00,9900,1269,1013.6,0,48,1.6,57.0,26.8,21.0
2025-09-20T12:55:44.608000+00:00,9900,1269,1013.5,0,107,2.2,57.0,26.6,20.9
2025-09-20T12:56:44.609000+00:00,9900,1269,1013.8,0,76,1.6,57.0,26.3,20.9
2025-09-20T12:57:44.603000+00:00,9900,1269,1013.7,0,1,1.6,57.0,26.2,20.8
2025-09-20T12:58:44.601000+00:00,9900,1269,1013.5,0,81,1.8,58.0,26.1,20.8
2025-09-20T12:59:44.608000+00:00,9900,1269,1013.7,0,97,2.7,58.0,26.1,20.8
2025-09-20T13:00:44.609000+00:00,9900,1269,1013.9,0,205,1.9,58.0,26.1,20.8
2025-09-20T13:01:44.610000+00:00,9900,1269,1013.8,0,83,2.0,58.0,26.1,20.8
2025-09-20T13:02:44.609000+00:00,9900,1269,1013.7,0,78,3.0,58.0,26.0,20.8
2025-09-20T13:03:44.620000+00:00,9900,1269,1013.8,0,41,2.6,58.0,25.7,20.8
2025-09-20T13:04:44.611000+00:00,9900,1269,1013.9,0,101,1.0,58.0,25.7,20.7
2025-09-20T13:05:44.610000+00:00,9900,1269,1013.9,0,264,1.7,59.0,25.8,20.7
2025-09-20T13:06:44.611000+00:00,9900,1269,1014.0,0,0,1.2,58.0,25.9,20.7
2025-09-20T13:07:44.609000+00:00,9900,1269,1013.9,0,80,2.7,59.0,25.6,20.6
2025-09-20T13:08:44.615000+00:00,9900,1269,1013.9,0,45,1.9,59.0,25.5,20.6
2025-09-20T13:09:44.612000+00:00,9900,1269,1013.9,0,92,1.9,59.0,25.6,20.6
2025-09-20T13:10:44.621000+00:00,9900,1269,1014.0,0,115,2.1,59.0,25.6,20.6
2025-09-20T13:11:44.615000+00:00,9900,1269,1014.2,0,69,2.6,59.0,25.6,20.6
2025-09-20T13:12:44.612000+00:00,9900,1269,1014.2,0,182,1.5,59.0,25.6,20.6
2025-09-20T13:13:44.612000+00:00,9900,1269,1014.1,0,62,2.4,60.0,25.3,20.5
2025-09-20T13:14:44.620000+00:00,9900,1269,1013.8,0,99,1.8,60.0,25.3,20.5
2025-09-20T13:15:44.614000+00:00,9900,1269,1014.2,0,168,2.9,60.0,25.3,20.4
2025-09-20T13:16:44.613000+00:00,9900,1269,1013.8,0,84,1.9,60.0,25.4,20.4
2025-09-20T13:17:44.615000+00:00,9900,1269,1013.9,0,117,4.5,60.0,25.2,20.4
2025-09-20T13:18:44.620000+00:00,9900,1269,1014.1,0,168,2.4,60.0,25.1,20.3
2025-09-20T13:19:44.623000+00:00,9900,1269,1014.0,0,139,1.4,61.0,25.1,20.3
2025-09-20T13:20:44.611000+00:00,9900,1269,1013.8,0,95,3.2,61.0,25.0,20.3
2025-09-20T13:21:44.614000+00:00,9900,1269,1014.1,1,67,2.3,61.0,25.0,20.3
