date,session_key,wind_speed,pressure,track_temperature,wind_direction,meeting_key,humidity,rainfall,air_temperature
2025-10-18T21:42:25.102000+00:00,9884,2.2,989.3,44.1,326,1271,37.0,0,33.7
2025-10-18T21:43:25.118000+00:00,9884,2.3,989.2,44.3,310,1271,37.0,0,33.8
2025-10-18T21:44:25.131000+00:00,9884,1.9,989.4,44.7,333,1271,37.0,0,34.0
2025-10-18T21:45:25.135000+00:00,9884,1.2,989.3,45.3,0,1271,36.0,0,34.2
2025-10-18T21:46:25.139000+00:00,9884,0.7,989.4,45.3,347,1271,36.0,0,34.2
2025-10-18T21:47:25.139000+00:00,9884,1.7,989.3,44.3,277,1271,36.0,0,34.3
2025-10-18T21:48:25.140000+00:00,9884,1.0,989.2,44.3,334,1271,36.0,0,34.2
2025-10-18T21:49:25.152000+00:00,9884,1.4,989.3,44.3,28,1271,36.0,0,34.1
2025-10-18T21:50:25.177000+00:00,9884,1.6,989.1,44.5,100,1271,36.0,0,34.1
2025-10-18T21:51:25.179000+00:00,9884,2.0,989.3,44.7,321,1271,36.0,0,34.0
2025-10-18T21:52:25.179000+00:00,9884,2.3,989.3,44.7,325,1271,36.0,0,34.0
2025-10-18T21:53:25.203000+00:00,9884,1.7,989.3,44.5,333,1271,36.0,0,34.1
2025-10-18T21:54:25.217000+00:00,9884,2.2,989.3,44.6,99,1271,35.0,0,34.1
2025-10-18T21:55:25.206000+00:00,9884,2.6,989.3,44.6,113,1271,36.0,0,34.1
2025-10-18T21:56:25.218000+00:00,9884,1.7,989.4,44.5,160,1271,36.0,0,34.1
2025-10-18T21:57:25.217000+00:00,9884,1.1,989.3,44.3,121,1271,36.0,0,34.0
2025-10-18T21:58:25.218000+00:00,9884,1.5,989.3,44.3,96,1271,36.0,0,34.0
2025-10-18T21:59:25.230000+00:00,9884,2.1,989.2,44.2,0,1271,36.0,0,33.9
2025-10-18T22:00:25.246000+00:00,9884,0.6,989.3,44.3,3,1271,36.0,0,33.9
2025-10-18T22:01:25.268000+00:00,9884,0.6,989.2,44.4,28,1271,35.0,0,34.0
2025-10-18T22:02:25.266000+00:00,9884,1.3,989.2,44.3,97,1271,35.0,0,34.0
2025-10-18T22:03:25.273000+00:00,9884,1.6,989.2,44.3,260,1271,35.0,0,34.0
2025-10-18T22:04:25.281000+00:00,9884,2.0,989.2,43.9,301,1271,35.0,0,34.0
2025-10-18T22:05:25.292000+00:00,9884,2.7,989.2,43.7,307,1271,36.0,0,34.0
2025-10-18T22:06:25.293000+00:00,9884,2.5,989.3,43.4,296,1271,36.0,0,34.0
2025-10-18T22:07:25.306000+00:00,9884,2.7,989.2,43.6,296,1271,36.0,0,34.1
2025-10-18T22:08:25.326000+00:00,9884,2.4,989.2,43.6,297,1271,36.0,0,34.1
2025-10-18T22:09:25.321000+00:00,9884,1.9,989.2,43.7,99,1271,36.0,0,34.1
2025-10-18T22:10:25.307000+00:00,9884,1.7,989.3,43.7,20,1271,36.0,0,34.1
2025-10-18T22:11:25.342000+00:00,9884,1.9,989.2,43.3,319,1271,36.0,0,34.0
2025-10-18T22:12:25.357000+00:00,9884,2.1,989.2,43.5,289,1271,36.0,0,34.0
2025-10-18T22:13:25.355000+00:00,9884,1.2,989.2,43.5,303,1271,36.0,0,34.0
2025-10-18T22:14:25.355000+00:00,9884,0.9,989.2,43.8,78,1271,36.0,0,34.0
