date,session_key,pressure,meeting_key,air_temperature,track_temperature,wind_direction,wind_speed,rainfall,humidity
2025-12-05T12:46:56.165000+00:00,9833,1017.4,1276,25.8,30.9,16,2.3,0,62.0
2025-12-05T12:47:56.176000+00:00,9833,1017.4,1276,25.8,30.9,346,2.2,0,62.0
2025-12-05T12:48:56.159000+00:00,9833,1017.3,1276,25.8,31.1,322,1.7,0,61.0
2025-12-05T12:49:56.160000+00:00,9833,1017.4,1276,25.8,31.1,333,1.9,0,61.0
2025-12-05T12:50:56.162000+00:00,9833,1017.4,1276,25.8,31.1,324,2.0,0,61.0
2025-12-05T12:51:56.163000+00:00,9833,1017.4,1276,25.8,30.8,14,1.7,0,62.0
2025-12-05T12:52:56.748000+00:00,9833,1017.4,1276,25.7,30.7,348,2.4,0,62.0
2025-12-05T12:53:56.826000+00:00,9833,1017.4,1276,25.7,30.7,322,3.2,0,62.0
2025-12-05T12:54:56.166000+00:00,9833,1017.5,1276,25.6,30.7,297,2.3,0,62.0
2025-12-05T12:55:56.165000+00:00,9833,1017.5,1276,25.6,30.7,316,1.1,0,62.0
2025-12-05T12:56:56.156000+00:00,9833,1017.5,1276,25.6,30.9,339,1.5,0,62.0
2025-12-05T12:57:56.164000+00:00,9833,1017.5,1276,25.6,30.9,297,1.9,0,62.0
2025-12-05T12:58:56.679000+00:00,9833,1017.5,1276,25.6,30.7,350,2.2,0,61.0
2025-12-05T12:59:56.240000+00:00,9833,1017.5,1276,25.6,30.7,341,1.6,0,61.0
2025-12-05T13:00:56.181000+00:00,9833,1017.6,1276,25.6,30.4,299,2.2,0,61.0
2025-12-05T13:01:56.174000+00:00,9833,1017.5,1276,25.6,30.6,315,2.3,0,61.0
2025-12-05T13:02:56.187000+00:00,9833,1017.4,1276,25.6,30.6,336,1.5,0,60.0
2025-12-05T13:03:56.191000+00:00,9833,1017.5,1276,25.6,30.7,334,2.2,0,60.0
2025-12-05T13:04:56.210000+00:00,9833,1017.5,1276,25.6,30.5,320,1.6,0,60.0
2025-12-05T13:05:56.212000+00:00,9833,1017.5,1276,25.6,30.4,289,1.7,0,59.0
2025-12-05T13:06:56.209000+00:00,9833,1017.5,1276,25.6,30.4,25,1.4,0,59.0
2025-12-05T13:07:56.302000+00:00,9833,1017.5,1276,25.6,30.4,332,1.1,0,60.0
2025-12-05T13:08:56.210000+00:00,9833,1017.5,1276,25.6,30.4,288,1.2,0,59.0
2025-12-05T13:09:56.238000+00:00,9833,1017.5,1276,25.6,30.4,332,1.8,0,59.0
2025-12-05T13:10:56.233000+00:00,9833,1017.4,1276,25.6,30.3,292,1.9,0,58.0
2025-12-05T13:11:56.230000+00:00,9833,1017.3,1276,25.6,30.2,354,2.1,0,58.0
2025-12-05T13:12:56.259000+00:00,9833,1017.4,1276,25.6,29.8,333,2.0,0,58.0
2025-12-05T13:13:56.277000+00:00,9833,1017.4,1276,25.6,29.9,351,1.8,0,58.0
2025-12-05T13:14:56.287000+00:00,9833,1017.5,1276,25.6,29.9,302,1.6,0,58.0
2025-12-05T13:15:56.285000+00:00,9833,1017.5,1276,25.6,30.0,300,1.6,0,58.0
2025-12-05T13:16:56.302000+00:00,9833,1017.5,1276,25.6,30.0,309,2.0,0,58.0
2025-12-05T13:17:56.305000+00:00,9833,1017.5,1276,25.6,30.0,328,1.6,0,57.0
2025-12-05T13:18:56.299000+00:00,9833,1017.5,1276,25.5,29.9,316,2.0,0,58.0
2025-12-05T13:19:56.734000+00:00,9833,1017.5,1276,25.5,29.8,347,1.8,0,57.0
2025-12-05T13:20:56.310000+00:00,9833,1017.4,1276,25.6,29.8,358,2.2,0,57.0
2025-12-05T13:21:56.315000+00:00,9833,1017.4,1276,25.6,29.7,312,1.5,0,57.0
2025-12-05T13:22:56.315000+00:00,9833,1017.4,1276,25.5,29.7,342,1.5,0,56.0
2025-12-05T13:23:56.315000+00:00,9833,1017.4,1276,25.5,29.5,8,2.1,0,57.0
2025-12-05T13:24:56.315000+00:00,9833,1017.4,1276,25.5,29.5,327,1.9,0,57.0
2025-12-05T13:25:56.315000+00:00,9833,1017.5,1276,25.5,29.5,8,1.8,0,57.0
2025-12-05T13:26:56.312000+00:00,9833,1017.5,1276,25.5,29.4,305,1.2,0,57.0
2025-12-05T13:27:56.316000+00:00,9833,1017.5,1276,25.5,29.4,12,1.2,0,57.0
2025-12-05T13:28:56.334000+00:00,9833,1017.5,1276,25.5,29.5,3,1.1,0,57.0
2025-12-05T13:29:56.308000+00:00,9833,1017.5,1276,25.5,29.5,345,0.7,0,57.0
2025-12-05T13:30:56.314000+00:00,9833,1017.3,1276,25.5,29.6,328,1.0,0,57.0
2025-12-05T13:31:56.313000+00:00,9833,1017.5,1276,25.5,29.5,6,1.3,0,57.0
2025-12-05T13:32:56.323000+00:00,9833,1017.6,1276,25.5,29.2,296,1.3,0,57.0
2025-12-05T13:33:56.307000+00:00,9833,1017.5,1276,25.5,29.4,309,1.5,0,56.0
2025-12-05T13:34:56.326000+00:00,9833,1017.6,1276,25.5,29.4,341,1.2,0,55.0
2025-12-05T13:35:56.320000+00:00,9833,1017.5,1276,25.4,29.4,344,1.4,0,55.0
2025-12-05T13:36:56.341000+00:00,9833,1017.5,1276,25.4,29.3,6,1.7,0,53.0
2025-12-05T13:37:56.351000+00:00,9833,1017.6,1276,25.5,29.2,16,1.7,0,53.0
2025-12-05T13:38:56.356000+00:00,9833,1017.5,1276,25.5,29.2,336,1.5,0,53.0
2025-12-05T13:39:56.377000+00:00,9833,1017.5,1276,25.5,29.2,359,1.5,0,52.0
2025-12-05T13:40:56.405000+00:00,9833,1017.6,1276,25.5,29.1,6,1.5,0,52.0
2025-12-05T13:41:56.409000+00:00,9833,1017.6,1276,25.5,29.1,46,1.1,0,52.0
2025-12-05T13:42:56.426000+00:00,9833,1017.5,1276,25.5,29.1,23,0.9,0,52.0
2025-12-05T13:43:56.428000+00:00,9833,1017.6,1276,25.5,29.1,327,1.4,0,52.0
2025-12-05T13:44:56.429000+00:00,9833,1017.5,1276,25.5,29.0,299,1.5,0,52.0
2025-12-05T13:45:56.413000+00:00,9833,1017.6,1276,25.5,29.0,331,1.4,0,51.0
