meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1269,9899,30,1,,,53.242,40.571,153.0,186,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2051, 2064, 2064]",237
1269,9899,87,1,2025-09-20T08:36:10.459000+00:00,,47.313,28.696,165.0,195,True,,"[2064, 2064, 2051, 2051, 2049, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051]",292
1269,9899,6,1,2025-09-20T08:36:49.615000+00:00,,53.998,37.172,167.0,176,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2064, 2064]",250
1269,9899,87,2,2025-09-20T08:38:09.144000+00:00,59.577,57.065,27.027,107.0,203,False,143.669,"[2051, 2051, 2051, 2051, 2051, 2051, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",294
1269,9899,87,3,2025-09-20T08:40:32.735000+00:00,37.693,43.209,26.431,197.0,225,False,107.333,"[None, 2051, 2051, 2051, 2051, 2048, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]","[2048, 2051, 2051, 2051, 2051, 2051, 2051]",315
1269,9899,87,4,2025-09-20T08:42:19.968000+00:00,62.451,55.781,26.923,113.0,195,False,145.155,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2051, 2048, 2048, 2048, 2048, 2048, 2048, 2051]",295
1269,9899,4,1,2025-09-20T08:42:56.169000+00:00,,48.268,26.535,180.0,185,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",301
1269,9899,30,2,2025-09-20T08:43:58.215000+00:00,,49.144,25.995,171.0,190,True,473.025,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2049, 2051, 2051]",316
1269,9899,87,5,2025-09-20T08:44:45.316000+00:00,37.501,42.73,25.493,201.0,214,False,105.724,"[2049, 2048, 2049, 2051, 2049, 2048, 2049, 2049]","[2051, 2051, 2051, 2051, 2049, 2048, 2051, 2049, 2051, 2051]","[2051, 2051, 2051, 2051, 2051, 2048, 2049, 2049]",315
1269,9899,31,1,2025-09-20T08:44:56.028000+00:00,,52.863,32.145,145.0,181,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064, 2064]",290
1269,9899,81,1,2025-09-20T08:45:04.607000+00:00,,50.441,26.729,177.0,201,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",302
1269,9899,4,2,2025-09-20T08:45:07.543000+00:00,37.105,43.066,25.644,222.0,227,False,105.815,"[2051, 2049, 2051, 2049, 2051, 2051, 2051, 2051]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2051, 2049, 2049, 2049]",314
1269,9899,27,1,2025-09-20T08:45:08.189000+00:00,,49.416,27.436,160.0,165,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",296
1269,9899,30,3,2025-09-20T08:45:55.728000+00:00,38.844,43.881,25.642,204.0,207,False,108.367,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2048, 2048]",316
1269,9899,44,1,2025-09-20T08:46:20.143000+00:00,,60.476,26.907,153.0,185,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298
1269,9899,10,1,2025-09-20T08:46:28.872000+00:00,,49.101,26.627,173.0,190,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",300
1269,9899,87,6,2025-09-20T08:46:30.953000+00:00,47.294,52.025,26.749,161.0,195,False,126.068,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",296
1269,9899,16,1,2025-09-20T08:46:37.372000+00:00,,53.929,27.068,175.0,131,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",299
1269,9899,43,1,2025-09-20T08:46:43.668000+00:00,,52.57,26.64,164.0,143,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",303
1269,9899,18,1,2025-09-20T08:46:46.406000+00:00,,58.459,30.282,162.0,81,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",302
1269,9899,4,3,2025-09-20T08:46:53.218000+00:00,62.657,70.025,36.07,86.0,105,False,168.752,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",247
1269,9899,14,1,2025-09-20T08:46:54.169000+00:00,,60.451,30.381,155.0,84,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305
1269,9899,5,1,2025-09-20T08:46:59.552000+00:00,,53.548,29.416,112.0,133,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298
1269,9899,6,2,2025-09-20T08:47:04.545000+00:00,,50.749,28.147,162.0,193,True,612.233,"[None, 2064, 2049, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",290
1269,9899,81,2,2025-09-20T08:47:10.570000+00:00,36.832,42.246,25.739,222.0,220,False,104.817,"[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]",317
1269,9899,27,2,2025-09-20T08:47:17.762000+00:00,37.395,42.803,25.354,220.0,225,False,105.552,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2051, 2051, 2051, 2051, 2049]",318
1269,9899,31,2,2025-09-20T08:47:17.974000+00:00,68.515,55.964,28.921,185.0,67,True,153.4,"[None, 2064, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]",302
1269,9899,22,1,2025-09-20T08:47:25.233000+00:00,,48.748,26.175,173.0,185,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",307
1269,9899,55,1,2025-09-20T08:47:35.723000+00:00,,60.87,27.002,177.0,166,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",297
