date,session_key,meeting_key,position,driver_number
2025-11-28T13:19:47.763000+00:00,9840,1275,1,1
2025-11-28T13:19:47.763000+00:00,9840,1275,2,4
2025-11-28T13:19:47.763000+00:00,9840,1275,3,5
2025-11-28T13:19:47.763000+00:00,9840,1275,4,6
2025-11-28T13:19:47.763000+00:00,9840,1275,5,10
2025-11-28T13:19:47.763000+00:00,9840,1275,6,12
2025-11-28T13:19:47.763000+00:00,9840,1275,7,14
2025-11-28T13:19:47.763000+00:00,9840,1275,8,16
2025-11-28T13:19:47.763000+00:00,9840,1275,9,18
2025-11-28T13:19:47.763000+00:00,9840,1275,10,22
2025-11-28T13:19:47.763000+00:00,9840,1275,11,23
2025-11-28T13:19:47.763000+00:00,9840,1275,12,27
2025-11-28T13:19:47.763000+00:00,9840,1275,13,30
2025-11-28T13:19:47.763000+00:00,9840,1275,14,31
2025-11-28T13:19:47.763000+00:00,9840,1275,15,43
2025-11-28T13:19:47.763000+00:00,9840,1275,16,44
2025-11-28T13:19:47.763000+00:00,9840,1275,17,55
2025-11-28T13:19:47.763000+00:00,9840,1275,18,63
2025-11-28T13:19:47.763000+00:00,9840,1275,19,81
2025-11-28T13:19:47.763000+00:00,9840,1275,20,87
2025-11-28T13:30:03.538000+00:00,9840,1275,2,1
2025-11-28T13:30:03.538000+00:00,9840,1275,3,4
2025-11-28T13:30:03.538000+00:00,9840,1275,4,5
2025-11-28T13:30:03.538000+00:00,9840,1275,5,6
2025-11-28T13:30:03.538000+00:00,9840,1275,6,10
2025-11-28T13:30:03.538000+00:00,9840,1275,7,12
2025-11-28T13:30:03.538000+00:00,9840,1275,8,14
2025-11-28T13:30:03.538000+00:00,9840,1275,9,16
2025-11-28T13:30:03.538000+00:00,9840,1275,10,18
2025-11-28T13:30:03.538000+00:00,9840,1275,11,22
2025-11-28T13:30:03.538000+00:00,9840,1275,12,23
2025-11-28T13:30:03.538000+00:00,9840,1275,13,27
2025-11-28T13:30:03.538000+00:00,9840,1275,14,30
2025-11-28T13:30:03.538000+00:00,9840,1275,15,31
2025-11-28T13:30:03.538000+00:00,9840,1275,16,43
2025-11-28T13:30:03.538000+00:00,9840,1275,17,44
2025-11-28T13:30:03.538000+00:00,9840,1275,18,55
2025-11-28T13:30:03.538000+00:00,9840,1275,1,63
2025-11-28T13:30:04.942000+00:00,9840,1275,3,1
2025-11-28T13:30:04.942000+00:00,9840,1275,4,4
2025-11-28T13:30:04.942000+00:00,9840,1275,5,5
2025-11-28T13:30:04.942000+00:00,9840,1275,6,6
2025-11-28T13:30:04.942000+00:00,9840,1275,7,10
2025-11-28T13:30:04.942000+00:00,9840,1275,8,12
2025-11-28T13:30:04.942000+00:00,9840,1275,9,14
2025-11-28T13:30:04.942000+00:00,9840,1275,10,16
2025-11-28T13:30:04.942000+00:00,9840,1275,11,18
2025-11-28T13:30:04.942000+00:00,9840,1275,12,22
2025-11-28T13:30:04.942000+00:00,9840,1275,13,23
2025-11-28T13:30:04.942000+00:00,9840,1275,2,27
2025-11-28T13:30:10.141000+00:00,9840,1275,4,1
2025-11-28T13:30:10.141000+00:00,9840,1275,5,4
2025-11-28T13:30:10.141000+00:00,9840,1275,6,5
2025-11-28T13:30:10.141000+00:00,9840,1275,7,6
2025-11-28T13:30:10.141000+00:00,9840,1275,8,10
2025-11-28T13:30:10.141000+00:00,9840,1275,9,12
2025-11-28T13:30:10.141000+00:00,9840,1275,10,14
2025-11-28T13:30:10.141000+00:00,9840,1275,11,16
2025-11-28T13:30:10.141000+00:00,9840,1275,12,18
2025-11-28T13:30:10.141000+00:00,9840,1275,13,22
2025-11-28T13:30:10.141000+00:00,9840,1275,14,23
2025-11-28T13:30:10.141000+00:00,9840,1275,3,30
2025-11-28T13:30:17.166000+00:00,9840,1275,5,1
2025-11-28T13:30:17.166000+00:00,9840,1275,6,4
2025-11-28T13:30:17.166000+00:00,9840,1275,7,5
2025-11-28T13:30:17.166000+00:00,9840,1275,4,6
2025-11-28T13:30:26.202000+00:00,9840,1275,6,1
2025-11-28T13:30:26.202000+00:00,9840,1275,7,4
2025-11-28T13:30:26.202000+00:00,9840,1275,8,5
2025-11-28T13:30:26.202000+00:00,9840,1275,9,10
2025-11-28T13:30:26.202000+00:00,9840,1275,10,12
2025-11-28T13:30:26.202000+00:00,9840,1275,11,14
