meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1269,9900,23,1,,,47.159,26.387,180.0,196.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",303.0
1269,9900,27,1,2025-09-20T12:00:08.347000+00:00,,47.89,26.514,180.0,210.0,True,,"[2064, 2064, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]",300.0
1269,9900,5,1,2025-09-20T12:00:13.087000+00:00,,46.561,26.481,177.0,201.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",302.0
1269,9900,87,1,2025-09-20T12:00:20.705000+00:00,,46.813,26.538,156.0,200.0,True,,"[2064, 2064, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",301.0
1269,9900,31,1,2025-09-20T12:00:25.141000+00:00,,46.794,26.561,170.0,192.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",300.0
1269,9900,43,1,2025-09-20T12:00:31.420000+00:00,,46.683,26.47,184.0,206.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",299.0
1269,9900,55,1,2025-09-20T12:00:39.497000+00:00,,46.524,26.661,179.0,205.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",294.0
1269,9900,6,1,2025-09-20T12:00:46.302000+00:00,,45.93,26.593,190.0,216.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]",299.0
1269,9900,10,1,2025-09-20T12:00:56.095000+00:00,,47.113,26.514,178.0,197.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298.0
1269,9900,30,1,2025-09-20T12:01:00.395000+00:00,,47.316,26.172,173.0,213.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2051, 2049, 2049]",303.0
1269,9900,14,1,2025-09-20T12:01:14.898000+00:00,,48.861,26.543,185.0,199.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2051, 2051, 2049]",307.0
1269,9900,18,1,2025-09-20T12:01:23.379000+00:00,,48.21,26.444,188.0,170.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",306.0
1269,9900,22,1,2025-09-20T12:01:34.563000+00:00,,46.716,26.236,161.0,192.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",302.0
1269,9900,16,1,2025-09-20T12:01:44.248000+00:00,,54.23,26.541,167.0,187.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",304.0
1269,9900,44,1,2025-09-20T12:01:49.581000+00:00,,51.588,26.348,168.0,194.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1269,9900,23,2,2025-09-20T12:01:57.751000+00:00,36.704,41.721,25.353,214.0,216.0,False,103.778,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2049]",319.0
1269,9900,4,1,2025-09-20T12:02:00.292000+00:00,,50.226,26.221,182.0,159.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",307.0
1269,9900,27,2,2025-09-20T12:02:03.891000+00:00,36.613,42.441,25.205,212.0,221.0,False,104.259,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",317.0
1269,9900,5,2,2025-09-20T12:02:08.641000+00:00,37.026,41.719,25.111,207.0,226.0,False,103.856,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",318.0
1269,9900,63,1,2025-09-20T12:02:09.487000+00:00,,50.142,25.9,158.0,210.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1269,9900,87,2,2025-09-20T12:02:14.891000+00:00,36.461,41.685,24.976,212.0,218.0,False,103.122,"[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",322.0
1269,9900,12,1,2025-09-20T12:02:15.078000+00:00,,56.062,26.113,164.0,205.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",307.0
1269,9900,31,2,2025-09-20T12:02:23.078000+00:00,36.579,41.634,25.034,209.0,217.0,False,103.247,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1269,9900,43,2,2025-09-20T12:02:28.735000+00:00,36.662,42.448,24.947,224.0,215.0,False,104.057,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051, 2051]",322.0
1269,9900,1,1,2025-09-20T12:02:33.937000+00:00,,57.234,25.835,200.0,197.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",308.0
1269,9900,55,2,2025-09-20T12:02:40.460000+00:00,36.179,41.332,25.124,225.0,221.0,False,102.635,"[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1269,9900,6,2,2025-09-20T12:02:46.596000+00:00,36.208,41.796,25.15,220.0,234.0,False,103.154,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",316.0
1269,9900,81,1,2025-09-20T12:02:53.866000+00:00,,55.405,26.386,96.0,181.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",304.0
1269,9900,10,2,2025-09-20T12:02:56.547000+00:00,36.697,41.827,24.978,212.0,219.0,False,103.502,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",321.0
1269,9900,30,2,2025-09-20T12:03:05.846000+00:00,36.205,41.377,24.866,214.0,232.0,False,102.448,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",318.0
1269,9900,14,2,2025-09-20T12:03:14.962000+00:00,36.103,41.726,25.128,224.0,227.0,False,102.957,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",321.0
1269,9900,18,2,2025-09-20T12:03:21.521000+00:00,36.48,41.955,24.868,218.0,216.0,False,103.303,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051, 2051]",322.0
1269,9900,22,2,2025-09-20T12:03:33.148000+00:00,36.503,41.355,25.02,213.0,220.0,False,102.878,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1269,9900,23,3,2025-09-20T12:03:41.639000+00:00,57.203,51.89,26.114,134.0,202.0,False,135.207,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",309.0
1269,9900,27,3,2025-09-20T12:03:47.965000+00:00,41.043,50.551,32.369,185.0,164.0,False,123.963,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",295.0
1269,9900,5,3,2025-09-20T12:03:52.464000+00:00,47.796,51.011,55.011,172.0,179.0,False,153.818,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",292.0
1269,9900,16,2,2025-09-20T12:03:56.393000+00:00,35.765,41.093,25.124,219.0,230.0,False,101.982,"[2049, 2049, 2051, 2049, 2051, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",317.0
