date,session_key,pressure,meeting_key,air_temperature,track_temperature,wind_direction,wind_speed,rainfall,humidity
2025-11-30T15:05:41.032000+00:00,9850,1015.6,1275,23.7,29.8,356,2.6,0,65.0
2025-11-30T15:06:41.034000+00:00,9850,1015.6,1275,23.6,29.8,348,2.1,0,65.0
2025-11-30T15:07:41.047000+00:00,9850,1015.6,1275,23.6,29.6,335,2.2,0,65.0
2025-11-30T15:08:41.060000+00:00,9850,1015.6,1275,23.6,29.6,359,2.5,0,66.0
2025-11-30T15:09:41.070000+00:00,9850,1015.6,1275,23.6,29.5,353,2.6,0,65.0
2025-11-30T15:10:41.079000+00:00,9850,1015.6,1275,23.6,29.5,343,1.8,0,66.0
2025-11-30T15:11:41.083000+00:00,9850,1015.5,1275,23.5,29.4,358,2.3,0,66.0
2025-11-30T15:12:41.098000+00:00,9850,1015.6,1275,23.5,29.4,344,2.4,0,66.0
2025-11-30T15:13:41.098000+00:00,9850,1015.7,1275,23.5,29.4,343,2.3,0,66.0
2025-11-30T15:14:41.118000+00:00,9850,1015.6,1275,23.5,29.4,8,1.9,0,66.0
2025-11-30T15:15:41.107000+00:00,9850,1015.7,1275,23.5,29.7,351,2.1,0,66.0
2025-11-30T15:16:41.121000+00:00,9850,1015.6,1275,23.5,29.6,356,2.0,0,66.0
2025-11-30T15:17:41.112000+00:00,9850,1015.7,1275,23.5,29.4,344,2.7,0,66.0
2025-11-30T15:18:41.127000+00:00,9850,1015.8,1275,23.4,29.6,4,2.1,0,66.0
2025-11-30T15:19:41.122000+00:00,9850,1015.7,1275,23.4,29.6,355,2.3,0,66.0
2025-11-30T15:20:41.124000+00:00,9850,1015.8,1275,23.4,29.5,351,2.4,0,66.0
2025-11-30T15:21:41.123000+00:00,9850,1015.7,1275,23.4,29.3,341,2.3,0,66.0
2025-11-30T15:22:41.122000+00:00,9850,1015.8,1275,23.4,29.3,343,1.9,0,66.0
2025-11-30T15:23:41.123000+00:00,9850,1015.8,1275,23.3,29.4,359,1.4,0,66.0
2025-11-30T15:24:41.122000+00:00,9850,1015.8,1275,23.4,29.4,359,1.4,0,66.0
2025-11-30T15:25:41.122000+00:00,9850,1015.8,1275,23.4,29.4,359,1.4,0,66.0
2025-11-30T15:26:41.136000+00:00,9850,1015.8,1275,23.4,29.6,340,1.6,0,65.0
2025-11-30T15:27:41.127000+00:00,9850,1015.8,1275,23.4,29.8,16,1.6,0,65.0
2025-11-30T15:28:41.120000+00:00,9850,1015.9,1275,23.4,29.7,343,1.9,0,65.0
2025-11-30T15:29:41.130000+00:00,9850,1015.9,1275,23.4,29.6,325,1.4,0,65.0
2025-11-30T15:30:41.124000+00:00,9850,1016.0,1275,23.3,29.6,327,1.6,0,65.0
2025-11-30T15:31:41.124000+00:00,9850,1015.8,1275,23.3,29.7,334,1.4,0,65.0
2025-11-30T15:32:41.125000+00:00,9850,1015.9,1275,23.3,29.8,334,1.6,0,65.0
2025-11-30T15:33:41.138000+00:00,9850,1016.0,1275,23.3,29.5,353,2.2,0,65.0
2025-11-30T15:34:41.138000+00:00,9850,1016.0,1275,23.3,29.5,353,2.2,0,65.0
2025-11-30T15:35:41.138000+00:00,9850,1016.0,1275,23.2,29.3,331,1.4,0,66.0
2025-11-30T15:36:41.141000+00:00,9850,1016.0,1275,23.2,29.2,334,1.1,0,66.0
