date,session_key,meeting_key,driver_number,position
2025-11-29T17:48:30.360000+00:00,9846,1275,81,1
2025-11-29T17:48:30.360000+00:00,9846,1275,4,2
2025-11-29T17:48:30.360000+00:00,9846,1275,14,3
2025-11-29T17:48:30.360000+00:00,9846,1275,55,4
2025-11-29T17:48:30.360000+00:00,9846,1275,6,5
2025-11-29T17:48:30.360000+00:00,9846,1275,1,6
2025-11-29T17:48:30.360000+00:00,9846,1275,23,7
2025-11-29T17:48:30.360000+00:00,9846,1275,16,8
2025-11-29T17:48:30.360000+00:00,9846,1275,18,9
2025-11-29T17:48:30.360000+00:00,9846,1275,12,10
2025-11-29T17:48:30.360000+00:00,9846,1275,27,11
2025-11-29T17:48:30.360000+00:00,9846,1275,44,12
2025-11-29T17:48:30.360000+00:00,9846,1275,22,13
2025-11-29T17:48:30.360000+00:00,9846,1275,63,14
2025-11-29T17:48:30.360000+00:00,9846,1275,87,15
2025-11-29T17:48:30.360000+00:00,9846,1275,5,16
2025-11-29T17:48:30.360000+00:00,9846,1275,31,17
2025-11-29T17:48:30.360000+00:00,9846,1275,10,18
2025-11-29T17:48:30.360000+00:00,9846,1275,30,19
2025-11-29T17:48:30.360000+00:00,9846,1275,43,20
2025-11-29T18:00:03.965000+00:00,9846,1275,81,2
2025-11-29T18:00:03.965000+00:00,9846,1275,4,3
2025-11-29T18:00:03.965000+00:00,9846,1275,14,4
2025-11-29T18:00:03.965000+00:00,9846,1275,55,1
2025-11-29T18:00:09.762000+00:00,9846,1275,81,3
2025-11-29T18:00:09.762000+00:00,9846,1275,4,4
2025-11-29T18:00:09.762000+00:00,9846,1275,14,5
2025-11-29T18:00:09.762000+00:00,9846,1275,6,6
2025-11-29T18:00:09.762000+00:00,9846,1275,1,7
2025-11-29T18:00:09.762000+00:00,9846,1275,23,8
2025-11-29T18:00:09.762000+00:00,9846,1275,16,9
2025-11-29T18:00:09.762000+00:00,9846,1275,18,10
2025-11-29T18:00:09.762000+00:00,9846,1275,12,11
2025-11-29T18:00:09.762000+00:00,9846,1275,27,2
2025-11-29T18:00:17.289000+00:00,9846,1275,81,4
2025-11-29T18:00:17.289000+00:00,9846,1275,4,5
2025-11-29T18:00:17.289000+00:00,9846,1275,14,6
2025-11-29T18:00:17.289000+00:00,9846,1275,6,7
2025-11-29T18:00:17.289000+00:00,9846,1275,1,8
2025-11-29T18:00:17.289000+00:00,9846,1275,23,2
2025-11-29T18:00:17.289000+00:00,9846,1275,27,3
2025-11-29T18:00:25.049000+00:00,9846,1275,81,5
2025-11-29T18:00:25.049000+00:00,9846,1275,4,6
2025-11-29T18:00:25.049000+00:00,9846,1275,14,7
2025-11-29T18:00:25.049000+00:00,9846,1275,6,8
2025-11-29T18:00:25.049000+00:00,9846,1275,1,9
2025-11-29T18:00:25.049000+00:00,9846,1275,16,10
2025-11-29T18:00:25.049000+00:00,9846,1275,18,11
2025-11-29T18:00:25.049000+00:00,9846,1275,12,12
2025-11-29T18:00:25.049000+00:00,9846,1275,44,13
2025-11-29T18:00:25.049000+00:00,9846,1275,22,14
2025-11-29T18:00:25.049000+00:00,9846,1275,63,15
2025-11-29T18:00:25.049000+00:00,9846,1275,87,16
2025-11-29T18:00:25.049000+00:00,9846,1275,5,4
2025-11-29T18:00:32.221000+00:00,9846,1275,81,6
2025-11-29T18:00:32.221000+00:00,9846,1275,4,7
2025-11-29T18:00:32.221000+00:00,9846,1275,14,8
2025-11-29T18:00:32.221000+00:00,9846,1275,6,9
2025-11-29T18:00:32.221000+00:00,9846,1275,1,10
2025-11-29T18:00:32.221000+00:00,9846,1275,16,11
2025-11-29T18:00:32.221000+00:00,9846,1275,18,12
2025-11-29T18:00:32.221000+00:00,9846,1275,12,13
2025-11-29T18:00:32.221000+00:00,9846,1275,44,14
2025-11-29T18:00:32.221000+00:00,9846,1275,22,15
2025-11-29T18:00:32.221000+00:00,9846,1275,63,16
2025-11-29T18:00:32.221000+00:00,9846,1275,87,17
2025-11-29T18:00:32.221000+00:00,9846,1275,31,5
2025-11-29T18:00:39.690000+00:00,9846,1275,81,7
2025-11-29T18:00:39.690000+00:00,9846,1275,4,8
2025-11-29T18:00:39.690000+00:00,9846,1275,14,9
2025-11-29T18:00:39.690000+00:00,9846,1275,6,10
2025-11-29T18:00:39.690000+00:00,9846,1275,1,11
2025-11-29T18:00:39.690000+00:00,9846,1275,16,12
2025-11-29T18:00:39.690000+00:00,9846,1275,18,13
2025-11-29T18:00:39.690000+00:00,9846,1275,12,14
2025-11-29T18:00:39.690000+00:00,9846,1275,44,15
2025-11-29T18:00:39.690000+00:00,9846,1275,22,16
2025-11-29T18:00:39.690000+00:00,9846,1275,63,17
2025-11-29T18:00:39.690000+00:00,9846,1275,87,4
2025-11-29T18:00:39.690000+00:00,9846,1275,5,5
