meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1273,9864,4,1,,,37.466,16.801,292.0,259.0,False,,"[None, 2049, 2051, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2051, 2051]",200.0
1273,9864,12,1,,,38.075,16.7,308.0,260.0,False,,"[None, 2051, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051]",199.0
1273,9864,81,1,,,38.389,16.597,307.0,253.0,False,,"[None, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2051]",205.0
1273,9864,63,1,,,38.697,16.45,309.0,259.0,False,,"[None, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2051, 2049, 2051, 0]",211.0
1273,9864,1,1,,,38.941,16.537,308.0,255.0,False,,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",214.0
1273,9864,14,1,,,39.125,16.588,308.0,250.0,False,,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049]",215.0
1273,9864,16,1,,,39.558,16.84,310.0,247.0,False,,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",203.0
1273,9864,44,1,,,39.731,17.015,305.0,250.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",200.0
1273,9864,18,1,,,39.797,17.277,302.0,246.0,False,,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",220.0
1273,9864,27,1,,,40.446,17.008,288.0,246.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",190.0
1273,9864,10,1,,,40.597,16.902,303.0,246.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049]",202.0
1273,9864,23,1,,,40.754,16.993,291.0,249.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",187.0
1273,9864,6,1,,,40.916,17.259,290.0,246.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",178.0
1273,9864,43,1,,,41.236,17.176,295.0,245.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",201.0
1273,9864,5,1,,,41.392,17.463,298.0,235.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",186.0
1273,9864,30,1,,,42.267,17.005,289.0,241.0,False,,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 0]",188.0
