meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1273,9860,22,1,,,40.81,17.441,285,228,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2051]","[2049, 2051, 2049, 2049, 2049, 2051, 2051, 2051]","[2049, 2051, 2051, 2051, 2051, 2051]",
1273,9860,4,1,2025-11-07T18:30:09.968000+00:00,,43.428,16.919,269,227,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2051]",
1273,9860,81,1,2025-11-07T18:30:14.801000+00:00,,42.313,17.195,276,229,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049]",
1273,9860,14,1,2025-11-07T18:30:25.522000+00:00,,44.923,17.867,268,225,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,18,1,2025-11-07T18:30:29.956000+00:00,,41.958,17.956,279,191,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,6,1,2025-11-07T18:30:35.788000+00:00,,43.483,17.655,277,231,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,30,1,2025-11-07T18:30:43.457000+00:00,,47.355,17.196,276,235,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,87,1,2025-11-07T18:31:18.378000+00:00,,44.962,20.382,265,153,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,31,1,2025-11-07T18:31:21.236000+00:00,,45.748,19.254,265,183,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",
1273,9860,22,2,2025-11-07T18:31:26.530000+00:00,18.365,36.606,16.382,324,264,False,71.353,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051]",327.0
1273,9860,4,2,2025-11-07T18:31:34.856000+00:00,18.041,36.029,16.241,327,267,False,70.311,"[2049, 2049, 2049, 2051, 2049, 2051, 2051]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2051, 2051, 2049, 2049]",327.0
1273,9860,81,2,2025-11-07T18:31:43.223000+00:00,18.151,35.819,16.316,325,267,False,70.286,"[2051, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2049, 2051, 2051, 2051, 2051]",327.0
1273,9860,14,2,2025-11-07T18:31:57.462000+00:00,18.078,35.956,16.382,324,265,False,70.416,"[2049, 2051, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049]",326.0
1273,9860,16,1,2025-11-07T18:31:59.602000+00:00,,46.784,17.151,255,239,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,27,1,2025-11-07T18:32:03.258000+00:00,,42.345,16.965,262,245,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",
1273,9860,18,2,2025-11-07T18:32:03.311000+00:00,18.354,35.794,16.303,324,263,False,70.451,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]",326.0
1273,9860,44,1,2025-11-07T18:32:06.702000+00:00,,48.25,17.274,245,224,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",
1273,9860,5,1,2025-11-07T18:32:09.817000+00:00,,47.657,18.67,247,56,True,,"[2064, 2064, 2064, 2064, 2064, 2064, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",
1273,9860,6,2,2025-11-07T18:32:13.046000+00:00,18.242,35.929,16.246,323,264,False,70.417,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049]",323.0
