date,session_key,wind_speed,pressure,track_temperature,air_temperature,meeting_key,humidity,wind_direction,rainfall
2025-11-09T17:02:20.888000+00:00,9869,1.7,929.8,30.7,17.5,1273,70.0,0,0
2025-11-09T17:03:20.886000+00:00,9869,0.4,929.8,30.8,17.5,1273,69.0,123,0
2025-11-09T17:04:20.899000+00:00,9869,1.7,929.9,30.7,17.5,1273,70.0,158,0
2025-11-09T17:05:20.919000+00:00,9869,1.9,929.8,30.7,17.5,1273,70.0,161,0
2025-11-09T17:06:20.924000+00:00,9869,1.1,929.9,30.6,17.5,1273,70.0,140,0
2025-11-09T17:07:20.922000+00:00,9869,1.4,929.8,30.5,17.5,1273,70.0,175,0
2025-11-09T17:08:20.924000+00:00,9869,1.8,929.9,30.5,17.4,1273,70.0,152,0
2025-11-09T17:09:20.925000+00:00,9869,1.3,929.9,30.5,17.4,1273,70.0,118,0
2025-11-09T17:10:20.928000+00:00,9869,1.3,929.9,30.5,17.4,1273,71.0,139,0
2025-11-09T17:11:20.923000+00:00,9869,1.5,929.9,30.4,17.4,1273,71.0,155,0
2025-11-09T17:12:20.924000+00:00,9869,1.8,929.9,30.5,17.3,1273,71.0,219,0
2025-11-09T17:13:20.921000+00:00,9869,2.0,929.8,30.4,17.3,1273,70.0,192,0
2025-11-09T17:14:20.933000+00:00,9869,1.7,929.9,30.3,17.3,1273,71.0,220,0
2025-11-09T17:15:20.932000+00:00,9869,1.0,929.9,30.5,17.2,1273,71.0,169,0
2025-11-09T17:16:20.940000+00:00,9869,1.2,929.8,30.5,17.3,1273,70.0,181,0
2025-11-09T17:17:20.922000+00:00,9869,1.5,929.9,30.2,17.3,1273,70.0,182,0
2025-11-09T17:18:20.933000+00:00,9869,0.9,929.8,30.1,17.3,1273,70.0,143,0
2025-11-09T17:19:20.928000+00:00,9869,0.9,929.9,30.1,17.3,1273,70.0,0,0
2025-11-09T17:20:20.934000+00:00,9869,2.1,929.9,30.1,17.3,1273,69.0,173,0
2025-11-09T17:21:20.938000+00:00,9869,1.8,929.9,30.2,17.3,1273,69.0,174,0
2025-11-09T17:22:20.936000+00:00,9869,1.2,929.8,30.3,17.4,1273,69.0,179,0
2025-11-09T17:23:20.929000+00:00,9869,1.3,929.8,30.4,17.5,1273,69.0,212,0
2025-11-09T17:24:20.935000+00:00,9869,0.9,929.8,30.4,17.5,1273,69.0,353,0
2025-11-09T17:25:20.936000+00:00,9869,0.6,929.8,30.7,17.5,1273,68.0,181,0
2025-11-09T17:26:20.936000+00:00,9869,1.5,929.8,30.7,17.5,1273,68.0,173,0
2025-11-09T17:27:20.936000+00:00,9869,0.4,929.7,30.8,17.6,1273,68.0,0,0
2025-11-09T17:28:20.936000+00:00,9869,2.0,929.8,31.0,17.6,1273,67.0,197,0
2025-11-09T17:29:20.955000+00:00,9869,1.9,929.7,30.9,17.6,1273,68.0,157,0
2025-11-09T17:30:20.958000+00:00,9869,1.5,929.7,31.3,17.6,1273,68.0,158,0
2025-11-09T17:31:20.976000+00:00,9869,2.2,929.7,31.3,17.6,1273,68.0,168,0
2025-11-09T17:32:20.969000+00:00,9869,1.3,929.7,31.4,17.6,1273,69.0,150,0
2025-11-09T17:33:20.980000+00:00,9869,1.1,929.7,31.4,17.7,1273,68.0,160,0
2025-11-09T17:34:21.038000+00:00,9869,1.5,929.6,31.7,17.7,1273,67.0,165,0
2025-11-09T17:35:21.006000+00:00,9869,1.9,929.6,31.7,17.7,1273,67.0,185,0
2025-11-09T17:36:21.008000+00:00,9869,1.3,929.6,31.5,17.7,1273,68.0,149,0
2025-11-09T17:37:21.010000+00:00,9869,1.6,929.7,31.1,17.7,1273,67.0,181,0
2025-11-09T17:38:21.010000+00:00,9869,1.6,929.6,31.1,17.7,1273,67.0,170,0
2025-11-09T17:39:21.008000+00:00,9869,1.8,929.7,30.8,17.6,1273,69.0,179,0
2025-11-09T17:40:21.030000+00:00,9869,1.5,929.7,31.0,17.6,1273,68.0,220,0
2025-11-09T17:41:21.040000+00:00,9869,1.7,929.7,31.1,17.5,1273,68.0,174,0
2025-11-09T17:42:21.053000+00:00,9869,1.4,929.6,31.2,17.5,1273,68.0,0,0
2025-11-09T17:43:21.054000+00:00,9869,0.7,929.6,31.1,17.5,1273,68.0,164,0
2025-11-09T17:44:21.081000+00:00,9869,1.1,929.6,31.0,17.5,1273,67.0,257,0
2025-11-09T17:45:21.076000+00:00,9869,1.5,929.6,30.8,17.5,1273,68.0,140,0
2025-11-09T17:46:21.074000+00:00,9869,1.1,929.7,30.9,17.4,1273,68.0,194,0
2025-11-09T17:47:21.077000+00:00,9869,1.5,929.6,30.9,17.5,1273,68.0,204,0
2025-11-09T17:48:21.064000+00:00,9869,0.6,929.6,30.8,17.5,1273,68.0,127,0
2025-11-09T17:49:21.080000+00:00,9869,1.7,929.6,30.4,17.4,1273,68.0,188,0
2025-11-09T17:50:21.079000+00:00,9869,2.4,929.6,30.3,17.4,1273,69.0,167,0
2025-11-09T17:51:21.067000+00:00,9869,1.3,929.6,30.3,17.4,1273,69.0,143,0
2025-11-09T17:52:21.079000+00:00,9869,1.7,929.6,30.3,17.3,1273,70.0,199,0
2025-11-09T17:53:21.083000+00:00,9869,2.4,929.6,30.3,17.3,1273,70.0,175,0
2025-11-09T17:54:21.073000+00:00,9869,1.0,929.5,30.2,17.3,1273,71.0,183,0
2025-11-09T17:58:21.087000+00:00,9869,1.2,929.5,30.3,17.2,1273,70.0,196,0
2025-11-09T17:59:21.077000+00:00,9869,1.7,929.4,30.2,17.2,1273,71.0,140,0
2025-11-09T18:00:21.078000+00:00,9869,1.3,929.4,30.2,17.2,1273,71.0,132,0
2025-11-09T18:01:21.088000+00:00,9869,1.5,929.6,30.2,17.2,1273,71.0,187,0
2025-11-09T18:02:21.092000+00:00,9869,1.8,929.5,30.2,17.2,1273,71.0,167,0
2025-11-09T18:03:21.093000+00:00,9869,2.0,929.5,30.0,17.1,1273,71.0,187,0
2025-11-09T18:04:21.090000+00:00,9869,1.6,929.5,30.2,17.1,1273,71.0,183,0
2025-11-09T18:05:21.094000+00:00,9869,1.1,929.3,30.3,17.1,1273,71.0,156,0
2025-11-09T18:06:21.086000+00:00,9869,0.9,929.4,30.6,17.1,1273,70.0,204,0
2025-11-09T18:07:21.213000+00:00,9869,1.0,929.4,30.6,17.2,1273,69.0,161,0
2025-11-09T18:08:21.217000+00:00,9869,2.2,929.4,30.5,17.2,1273,69.0,150,0
2025-11-09T18:09:21.237000+00:00,9869,1.9,929.4,30.4,17.2,1273,70.0,143,0
2025-11-09T18:10:21.240000+00:00,9869,1.3,929.4,30.6,17.3,1273,70.0,126,0
2025-11-09T18:11:21.254000+00:00,9869,2.7,929.4,30.8,17.4,1273,71.0,156,0
2025-11-09T18:12:21.265000+00:00,9869,1.2,929.4,31.2,17.5,1273,71.0,168,0
2025-11-09T18:13:21.265000+00:00,9869,1.9,929.5,31.4,17.5,1273,70.0,171,0
2025-11-09T18:14:21.277000+00:00,9869,1.7,929.4,31.4,17.5,1273,70.0,0,0
2025-11-09T18:15:21.271000+00:00,9869,0.9,929.4,31.4,17.5,1273,70.0,170,0
2025-11-09T18:16:21.261000+00:00,9869,1.7,929.5,31.5,17.4,1273,70.0,171,0
2025-11-09T18:17:21.265000+00:00,9869,2.0,929.4,31.4,17.4,1273,70.0,194,0
2025-11-09T18:18:21.261000+00:00,9869,1.7,929.5,31.1,17.5,1273,71.0,207,0
2025-11-09T18:19:21.278000+00:00,9869,1.7,929.5,31.1,17.5,1273,71.0,165,0
2025-11-09T18:20:21.285000+00:00,9869,1.9,929.4,31.4,17.4,1273,71.0,267,0
2025-11-09T18:21:21.297000+00:00,9869,1.8,929.4,31.8,17.5,1273,70.0,182,0
2025-11-09T18:22:21.317000+00:00,9869,2.8,929.4,31.8,17.5,1273,70.0,169,0
2025-11-09T18:23:21.315000+00:00,9869,2.9,929.4,31.2,17.4,1273,72.0,245,0
2025-11-09T18:24:21.317000+00:00,9869,1.8,929.5,31.2,17.3,1273,72.0,198,0
2025-11-09T18:25:21.325000+00:00,9869,2.7,929.5,31.0,17.2,1273,72.0,194,0
2025-11-09T18:26:21.318000+00:00,9869,2.5,929.5,31.0,17.3,1273,72.0,128,0
2025-11-09T18:27:21.343000+00:00,9869,1.4,929.5,30.9,17.3,1273,72.0,203,0
2025-11-09T18:28:21.364000+00:00,9869,1.6,929.5,31.0,17.2,1273,72.0,144,0
2025-11-09T18:29:21.353000+00:00,9869,1.4,929.4,31.0,17.3,1273,72.0,179,0
2025-11-09T18:30:21.362000+00:00,9869,2.1,929.4,31.0,17.3,1273,72.0,146,0
2025-11-09T18:31:21.367000+00:00,9869,1.9,929.4,31.0,17.2,1273,72.0,130,0
2025-11-09T18:32:21.361000+00:00,9869,1.8,929.4,31.2,17.2,1273,71.0,148,0
2025-11-09T18:33:21.363000+00:00,9869,1.4,929.5,31.3,17.2,1273,71.0,155,0
2025-11-09T18:34:21.372000+00:00,9869,1.9,929.5,31.3,17.2,1273,72.0,165,0
2025-11-09T18:35:21.399000+00:00,9869,1.1,929.5,31.5,17.4,1273,71.0,190,0
2025-11-09T18:36:21.402000+00:00,9869,2.1,929.5,31.5,17.4,1273,71.0,189,0
2025-11-09T18:37:21.408000+00:00,9869,1.0,929.4,31.3,17.4,1273,70.0,122,0
2025-11-09T18:38:21.409000+00:00,9869,0.7,929.4,31.4,17.4,1273,70.0,196,0
