date,session_key,driver_number,meeting_key,position
2025-09-20T08:16:20.871000+00:00,9899,1,1269,1
2025-09-20T08:16:20.871000+00:00,9899,4,1269,2
2025-09-20T08:16:20.871000+00:00,9899,5,1269,3
2025-09-20T08:16:20.871000+00:00,9899,6,1269,4
2025-09-20T08:16:20.871000+00:00,9899,10,1269,5
2025-09-20T08:16:20.871000+00:00,9899,12,1269,6
2025-09-20T08:16:20.871000+00:00,9899,14,1269,7
2025-09-20T08:16:20.871000+00:00,9899,16,1269,8
2025-09-20T08:16:20.871000+00:00,9899,18,1269,9
2025-09-20T08:16:20.871000+00:00,9899,22,1269,10
2025-09-20T08:16:20.871000+00:00,9899,23,1269,11
2025-09-20T08:16:20.871000+00:00,9899,27,1269,12
2025-09-20T08:16:20.871000+00:00,9899,30,1269,13
2025-09-20T08:16:20.871000+00:00,9899,31,1269,14
2025-09-20T08:16:20.871000+00:00,9899,43,1269,15
2025-09-20T08:16:20.871000+00:00,9899,44,1269,16
2025-09-20T08:16:20.871000+00:00,9899,55,1269,17
2025-09-20T08:16:20.871000+00:00,9899,63,1269,18
2025-09-20T08:16:20.871000+00:00,9899,81,1269,19
2025-09-20T08:16:20.871000+00:00,9899,87,1269,20
2025-09-20T08:35:40.142000+00:00,9899,1,1269,2
2025-09-20T08:35:40.142000+00:00,9899,4,1269,3
2025-09-20T08:35:40.142000+00:00,9899,5,1269,4
2025-09-20T08:35:40.142000+00:00,9899,6,1269,5
2025-09-20T08:35:40.142000+00:00,9899,10,1269,6
2025-09-20T08:35:40.142000+00:00,9899,12,1269,7
2025-09-20T08:35:40.142000+00:00,9899,14,1269,8
2025-09-20T08:35:40.142000+00:00,9899,16,1269,9
2025-09-20T08:35:40.142000+00:00,9899,18,1269,10
2025-09-20T08:35:40.142000+00:00,9899,22,1269,11
2025-09-20T08:35:40.142000+00:00,9899,23,1269,12
2025-09-20T08:35:40.142000+00:00,9899,27,1269,13
2025-09-20T08:35:40.142000+00:00,9899,30,1269,1
2025-09-20T08:36:10.459000+00:00,9899,1,1269,3
2025-09-20T08:36:10.459000+00:00,9899,4,1269,4
2025-09-20T08:36:10.459000+00:00,9899,5,1269,5
2025-09-20T08:36:10.459000+00:00,9899,6,1269,6
2025-09-20T08:36:10.459000+00:00,9899,10,1269,7
2025-09-20T08:36:10.459000+00:00,9899,12,1269,8
2025-09-20T08:36:10.459000+00:00,9899,14,1269,9
2025-09-20T08:36:10.459000+00:00,9899,16,1269,10
2025-09-20T08:36:10.459000+00:00,9899,18,1269,11
2025-09-20T08:36:10.459000+00:00,9899,22,1269,12
2025-09-20T08:36:10.459000+00:00,9899,23,1269,13
2025-09-20T08:36:10.459000+00:00,9899,27,1269,14
2025-09-20T08:36:10.459000+00:00,9899,31,1269,15
2025-09-20T08:36:10.459000+00:00,9899,43,1269,16
2025-09-20T08:36:10.459000+00:00,9899,44,1269,17
2025-09-20T08:36:10.459000+00:00,9899,55,1269,18
2025-09-20T08:36:10.459000+00:00,9899,63,1269,19
2025-09-20T08:36:10.459000+00:00,9899,81,1269,20
2025-09-20T08:36:10.459000+00:00,9899,87,1269,2
2025-09-20T08:36:49.615000+00:00,9899,1,1269,4
2025-09-20T08:36:49.615000+00:00,9899,4,1269,5
2025-09-20T08:36:49.615000+00:00,9899,5,1269,6
2025-09-20T08:36:49.615000+00:00,9899,6,1269,3
2025-09-20T08:40:32.735000+00:00,9899,30,1269,2
2025-09-20T08:40:32.735000+00:00,9899,87,1269,1
2025-09-20T08:42:56.169000+00:00,9899,1,1269,5
2025-09-20T08:42:56.169000+00:00,9899,4,1269,4
2025-09-20T08:44:56.028000+00:00,9899,1,1269,6
2025-09-20T08:44:56.028000+00:00,9899,5,1269,7
2025-09-20T08:44:56.028000+00:00,9899,10,1269,8
2025-09-20T08:44:56.028000+00:00,9899,12,1269,9
2025-09-20T08:44:56.028000+00:00,9899,14,1269,10
2025-09-20T08:44:56.028000+00:00,9899,16,1269,11
2025-09-20T08:44:56.028000+00:00,9899,18,1269,12
2025-09-20T08:44:56.028000+00:00,9899,22,1269,13
2025-09-20T08:44:56.028000+00:00,9899,23,1269,14
2025-09-20T08:44:56.028000+00:00,9899,27,1269,15
2025-09-20T08:44:56.028000+00:00,9899,31,1269,5
2025-09-20T08:45:04.607000+00:00,9899,1,1269,7
2025-09-20T08:45:04.607000+00:00,9899,5,1269,8
2025-09-20T08:45:04.607000+00:00,9899,10,1269,9
2025-09-20T08:45:04.607000+00:00,9899,12,1269,10
2025-09-20T08:45:04.607000+00:00,9899,14,1269,11
2025-09-20T08:45:04.607000+00:00,9899,16,1269,12
2025-09-20T08:45:04.607000+00:00,9899,18,1269,13
2025-09-20T08:45:04.607000+00:00,9899,22,1269,14
2025-09-20T08:45:04.607000+00:00,9899,23,1269,15
2025-09-20T08:45:04.607000+00:00,9899,27,1269,16
2025-09-20T08:45:04.607000+00:00,9899,43,1269,17
2025-09-20T08:45:04.607000+00:00,9899,44,1269,18
2025-09-20T08:45:04.607000+00:00,9899,55,1269,19
2025-09-20T08:45:04.607000+00:00,9899,63,1269,20
2025-09-20T08:45:04.607000+00:00,9899,81,1269,6
2025-09-20T08:45:08.189000+00:00,9899,1,1269,8
2025-09-20T08:45:08.189000+00:00,9899,5,1269,9
2025-09-20T08:45:08.189000+00:00,9899,10,1269,10
2025-09-20T08:45:08.189000+00:00,9899,12,1269,11
2025-09-20T08:45:08.189000+00:00,9899,14,1269,12
2025-09-20T08:45:08.189000+00:00,9899,16,1269,13
2025-09-20T08:45:08.189000+00:00,9899,18,1269,14
2025-09-20T08:45:08.189000+00:00,9899,22,1269,15
2025-09-20T08:45:08.189000+00:00,9899,23,1269,16
2025-09-20T08:45:08.189000+00:00,9899,27,1269,7
2025-09-20T08:46:20.143000+00:00,9899,1,1269,9
2025-09-20T08:46:20.143000+00:00,9899,5,1269,10
2025-09-20T08:46:20.143000+00:00,9899,10,1269,11
2025-09-20T08:46:20.143000+00:00,9899,12,1269,12
2025-09-20T08:46:20.143000+00:00,9899,14,1269,13
2025-09-20T08:46:20.143000+00:00,9899,16,1269,14
2025-09-20T08:46:20.143000+00:00,9899,18,1269,15
2025-09-20T08:46:20.143000+00:00,9899,22,1269,16
2025-09-20T08:46:20.143000+00:00,9899,23,1269,17
2025-09-20T08:46:20.143000+00:00,9899,43,1269,18
2025-09-20T08:46:20.143000+00:00,9899,44,1269,8
2025-09-20T08:46:28.872000+00:00,9899,1,1269,10
2025-09-20T08:46:28.872000+00:00,9899,5,1269,11
2025-09-20T08:46:28.872000+00:00,9899,10,1269,9
2025-09-20T08:46:37.372000+00:00,9899,1,1269,11
2025-09-20T08:46:37.372000+00:00,9899,5,1269,12
2025-09-20T08:46:37.372000+00:00,9899,12,1269,13
2025-09-20T08:46:37.372000+00:00,9899,14,1269,14
2025-09-20T08:46:37.372000+00:00,9899,16,1269,10
2025-09-20T08:46:43.668000+00:00,9899,1,1269,12
2025-09-20T08:46:43.668000+00:00,9899,5,1269,13
2025-09-20T08:46:43.668000+00:00,9899,12,1269,14
2025-09-20T08:46:43.668000+00:00,9899,14,1269,15
2025-09-20T08:46:43.668000+00:00,9899,18,1269,16
2025-09-20T08:46:43.668000+00:00,9899,22,1269,17
2025-09-20T08:46:43.668000+00:00,9899,23,1269,18
2025-09-20T08:46:43.668000+00:00,9899,43,1269,11
2025-09-20T08:46:46.406000+00:00,9899,1,1269,13
2025-09-20T08:46:46.406000+00:00,9899,5,1269,14
2025-09-20T08:46:46.406000+00:00,9899,12,1269,15
2025-09-20T08:46:46.406000+00:00,9899,14,1269,16
2025-09-20T08:46:46.406000+00:00,9899,18,1269,12
2025-09-20T08:46:53.218000+00:00,9899,4,1269,2
2025-09-20T08:46:53.218000+00:00,9899,6,1269,4
2025-09-20T08:46:53.218000+00:00,9899,30,1269,3
2025-09-20T08:46:54.169000+00:00,9899,1,1269,14
2025-09-20T08:46:54.169000+00:00,9899,5,1269,15
2025-09-20T08:46:54.169000+00:00,9899,12,1269,16
2025-09-20T08:46:54.169000+00:00,9899,14,1269,13
2025-09-20T08:46:59.552000+00:00,9899,1,1269,15
2025-09-20T08:46:59.552000+00:00,9899,5,1269,14
2025-09-20T08:47:25.233000+00:00,9899,1,1269,16
2025-09-20T08:47:25.233000+00:00,9899,12,1269,17
2025-09-20T08:47:25.233000+00:00,9899,22,1269,15
2025-09-20T08:47:35.723000+00:00,9899,1,1269,17
2025-09-20T08:47:35.723000+00:00,9899,12,1269,18
2025-09-20T08:47:35.723000+00:00,9899,23,1269,19
2025-09-20T08:47:35.723000+00:00,9899,55,1269,16
2025-09-20T08:47:43.216000+00:00,9899,1,1269,18
2025-09-20T08:47:43.216000+00:00,9899,12,1269,19
2025-09-20T08:47:43.216000+00:00,9899,23,1269,17
2025-09-20T08:48:55.244000+00:00,9899,4,1269,3
2025-09-20T08:48:55.244000+00:00,9899,6,1269,5
2025-09-20T08:48:55.244000+00:00,9899,30,1269,4
2025-09-20T08:48:55.244000+00:00,9899,31,1269,6
2025-09-20T08:48:55.244000+00:00,9899,81,1269,1
2025-09-20T08:48:55.244000+00:00,9899,87,1269,2
2025-09-20T08:49:03.333000+00:00,9899,4,1269,4
2025-09-20T08:49:03.333000+00:00,9899,6,1269,6
2025-09-20T08:49:03.333000+00:00,9899,27,1269,2
2025-09-20T08:49:03.333000+00:00,9899,30,1269,5
2025-09-20T08:49:03.333000+00:00,9899,31,1269,7
2025-09-20T08:49:03.333000+00:00,9899,87,1269,3
2025-09-20T08:49:49.528000+00:00,9899,1,1269,19
2025-09-20T08:49:49.528000+00:00,9899,12,1269,18
2025-09-20T08:50:11.353000+00:00,9899,6,1269,7
2025-09-20T08:50:11.353000+00:00,9899,10,1269,6
2025-09-20T08:50:11.353000+00:00,9899,31,1269,8
2025-09-20T08:50:11.353000+00:00,9899,44,1269,9
2025-09-20T08:50:16.517000+00:00,9899,6,1269,8
2025-09-20T08:50:16.517000+00:00,9899,10,1269,7
2025-09-20T08:50:16.517000+00:00,9899,30,1269,6
2025-09-20T08:50:16.517000+00:00,9899,31,1269,9
2025-09-20T08:50:16.517000+00:00,9899,44,1269,5
2025-09-20T08:50:21.473000+00:00,9899,27,1269,3
2025-09-20T08:50:21.473000+00:00,9899,81,1269,2
2025-09-20T08:50:21.473000+00:00,9899,87,1269,1
2025-09-20T08:50:28.478000+00:00,9899,4,1269,5
2025-09-20T08:50:28.478000+00:00,9899,6,1269,9
2025-09-20T08:50:28.478000+00:00,9899,10,1269,8
2025-09-20T08:50:28.478000+00:00,9899,16,1269,2
2025-09-20T08:50:28.478000+00:00,9899,27,1269,4
2025-09-20T08:50:28.478000+00:00,9899,30,1269,7
2025-09-20T08:50:28.478000+00:00,9899,31,1269,10
2025-09-20T08:50:28.478000+00:00,9899,44,1269,6
2025-09-20T08:50:28.478000+00:00,9899,81,1269,3
2025-09-20T08:50:35.497000+00:00,9899,6,1269,10
2025-09-20T08:50:35.497000+00:00,9899,10,1269,9
2025-09-20T08:50:35.497000+00:00,9899,31,1269,11
2025-09-20T08:50:35.497000+00:00,9899,43,1269,8
2025-09-20T08:50:49.063000+00:00,9899,6,1269,11
2025-09-20T08:50:49.063000+00:00,9899,18,1269,10
2025-09-20T08:50:49.063000+00:00,9899,31,1269,12
2025-09-20T08:50:51.673000+00:00,9899,4,1269,6
2025-09-20T08:50:51.673000+00:00,9899,6,1269,12
2025-09-20T08:50:51.673000+00:00,9899,10,1269,10
2025-09-20T08:50:51.673000+00:00,9899,14,1269,4
2025-09-20T08:50:51.673000+00:00,9899,18,1269,11
2025-09-20T08:50:51.673000+00:00,9899,27,1269,5
2025-09-20T08:50:51.673000+00:00,9899,30,1269,8
2025-09-20T08:50:51.673000+00:00,9899,31,1269,13
2025-09-20T08:50:51.673000+00:00,9899,43,1269,9
2025-09-20T08:50:51.673000+00:00,9899,44,1269,7
2025-09-20T08:50:57.019000+00:00,9899,5,1269,9
2025-09-20T08:50:57.019000+00:00,9899,6,1269,13
2025-09-20T08:50:57.019000+00:00,9899,10,1269,11
2025-09-20T08:50:57.019000+00:00,9899,18,1269,12
2025-09-20T08:50:57.019000+00:00,9899,31,1269,14
2025-09-20T08:50:57.019000+00:00,9899,43,1269,10
2025-09-20T08:51:08.054000+00:00,9899,4,1269,7
2025-09-20T08:51:08.054000+00:00,9899,5,1269,10
2025-09-20T08:51:08.054000+00:00,9899,6,1269,14
2025-09-20T08:51:08.054000+00:00,9899,10,1269,12
2025-09-20T08:51:08.054000+00:00,9899,14,1269,5
