date,session_key,meeting_key,driver_number,position
2025-11-07T18:16:27.743000+00:00,9860,1273,1,1
2025-11-07T18:16:27.743000+00:00,9860,1273,4,2
2025-11-07T18:16:27.743000+00:00,9860,1273,5,3
2025-11-07T18:16:27.743000+00:00,9860,1273,6,4
2025-11-07T18:16:27.743000+00:00,9860,1273,10,5
2025-11-07T18:16:27.743000+00:00,9860,1273,12,6
2025-11-07T18:16:27.743000+00:00,9860,1273,14,7
2025-11-07T18:16:27.743000+00:00,9860,1273,16,8
2025-11-07T18:16:27.743000+00:00,9860,1273,18,9
2025-11-07T18:16:27.743000+00:00,9860,1273,22,10
2025-11-07T18:16:27.743000+00:00,9860,1273,23,11
2025-11-07T18:16:27.743000+00:00,9860,1273,27,12
2025-11-07T18:16:27.743000+00:00,9860,1273,30,13
2025-11-07T18:16:27.743000+00:00,9860,1273,31,14
2025-11-07T18:16:27.743000+00:00,9860,1273,43,15
2025-11-07T18:16:27.743000+00:00,9860,1273,44,16
2025-11-07T18:16:27.743000+00:00,9860,1273,55,17
2025-11-07T18:16:27.743000+00:00,9860,1273,63,18
2025-11-07T18:16:27.743000+00:00,9860,1273,81,19
2025-11-07T18:16:27.743000+00:00,9860,1273,87,20
2025-11-07T18:17:48.578000+00:00,9860,1273,1,17
2025-11-07T18:17:48.578000+00:00,9860,1273,4,1
2025-11-07T18:17:48.578000+00:00,9860,1273,5,5
2025-11-07T18:17:48.578000+00:00,9860,1273,6,9
2025-11-07T18:17:48.578000+00:00,9860,1273,10,7
2025-11-07T18:17:48.578000+00:00,9860,1273,12,10
2025-11-07T18:17:48.578000+00:00,9860,1273,14,4
2025-11-07T18:17:48.578000+00:00,9860,1273,16,18
2025-11-07T18:17:48.578000+00:00,9860,1273,18,15
2025-11-07T18:17:48.578000+00:00,9860,1273,22,20
2025-11-07T18:17:48.578000+00:00,9860,1273,23,12
2025-11-07T18:17:48.578000+00:00,9860,1273,27,3
2025-11-07T18:17:48.578000+00:00,9860,1273,30,11
2025-11-07T18:17:48.578000+00:00,9860,1273,31,13
2025-11-07T18:17:48.578000+00:00,9860,1273,43,16
2025-11-07T18:17:48.578000+00:00,9860,1273,44,19
2025-11-07T18:17:48.578000+00:00,9860,1273,55,8
2025-11-07T18:17:48.578000+00:00,9860,1273,63,6
2025-11-07T18:17:48.578000+00:00,9860,1273,81,2
2025-11-07T18:17:48.578000+00:00,9860,1273,87,14
2025-11-07T18:30:05.245000+00:00,9860,1273,1,18
2025-11-07T18:30:05.245000+00:00,9860,1273,4,2
2025-11-07T18:30:05.245000+00:00,9860,1273,5,6
2025-11-07T18:30:05.245000+00:00,9860,1273,6,10
2025-11-07T18:30:05.245000+00:00,9860,1273,10,8
2025-11-07T18:30:05.245000+00:00,9860,1273,12,11
2025-11-07T18:30:05.245000+00:00,9860,1273,14,5
2025-11-07T18:30:05.245000+00:00,9860,1273,16,19
2025-11-07T18:30:05.245000+00:00,9860,1273,18,16
2025-11-07T18:30:05.245000+00:00,9860,1273,22,1
2025-11-07T18:30:05.245000+00:00,9860,1273,23,13
2025-11-07T18:30:05.245000+00:00,9860,1273,27,4
2025-11-07T18:30:05.245000+00:00,9860,1273,30,12
2025-11-07T18:30:05.245000+00:00,9860,1273,31,14
2025-11-07T18:30:05.245000+00:00,9860,1273,43,17
2025-11-07T18:30:05.245000+00:00,9860,1273,44,20
2025-11-07T18:30:05.245000+00:00,9860,1273,55,9
2025-11-07T18:30:05.245000+00:00,9860,1273,63,7
2025-11-07T18:30:05.245000+00:00,9860,1273,81,3
2025-11-07T18:30:05.245000+00:00,9860,1273,87,15
2025-11-07T18:30:09.968000+00:00,9860,1273,4,1
2025-11-07T18:30:09.968000+00:00,9860,1273,22,2
2025-11-07T18:30:14.801000+00:00,9860,1273,22,3
2025-11-07T18:30:14.801000+00:00,9860,1273,81,2
2025-11-07T18:30:25.522000+00:00,9860,1273,14,3
2025-11-07T18:30:25.522000+00:00,9860,1273,22,4
2025-11-07T18:30:25.522000+00:00,9860,1273,27,5
2025-11-07T18:30:29.956000+00:00,9860,1273,5,7
2025-11-07T18:30:29.956000+00:00,9860,1273,6,11
2025-11-07T18:30:29.956000+00:00,9860,1273,10,9
2025-11-07T18:30:29.956000+00:00,9860,1273,12,12
2025-11-07T18:30:29.956000+00:00,9860,1273,18,4
2025-11-07T18:30:29.956000+00:00,9860,1273,22,5
2025-11-07T18:30:29.956000+00:00,9860,1273,23,14
2025-11-07T18:30:29.956000+00:00,9860,1273,27,6
2025-11-07T18:30:29.956000+00:00,9860,1273,30,13
2025-11-07T18:30:29.956000+00:00,9860,1273,31,15
2025-11-07T18:30:29.956000+00:00,9860,1273,55,10
2025-11-07T18:30:29.956000+00:00,9860,1273,63,8
2025-11-07T18:30:29.956000+00:00,9860,1273,87,16
2025-11-07T18:30:35.788000+00:00,9860,1273,5,8
2025-11-07T18:30:35.788000+00:00,9860,1273,6,4
2025-11-07T18:30:35.788000+00:00,9860,1273,10,10
2025-11-07T18:30:35.788000+00:00,9860,1273,18,5
2025-11-07T18:30:35.788000+00:00,9860,1273,22,6
2025-11-07T18:30:35.788000+00:00,9860,1273,27,7
2025-11-07T18:30:35.788000+00:00,9860,1273,55,11
2025-11-07T18:30:35.788000+00:00,9860,1273,63,9
2025-11-07T18:30:43.457000+00:00,9860,1273,5,9
2025-11-07T18:30:43.457000+00:00,9860,1273,10,11
2025-11-07T18:30:43.457000+00:00,9860,1273,12,13
2025-11-07T18:30:43.457000+00:00,9860,1273,18,6
2025-11-07T18:30:43.457000+00:00,9860,1273,22,7
2025-11-07T18:30:43.457000+00:00,9860,1273,27,8
2025-11-07T18:30:43.457000+00:00,9860,1273,30,5
2025-11-07T18:30:43.457000+00:00,9860,1273,55,12
2025-11-07T18:30:43.457000+00:00,9860,1273,63,10
2025-11-07T18:31:18.378000+00:00,9860,1273,5,10
2025-11-07T18:31:18.378000+00:00,9860,1273,10,12
2025-11-07T18:31:18.378000+00:00,9860,1273,12,14
2025-11-07T18:31:18.378000+00:00,9860,1273,18,7
2025-11-07T18:31:18.378000+00:00,9860,1273,22,8
2025-11-07T18:31:18.378000+00:00,9860,1273,23,15
2025-11-07T18:31:18.378000+00:00,9860,1273,27,9
2025-11-07T18:31:18.378000+00:00,9860,1273,31,16
2025-11-07T18:31:18.378000+00:00,9860,1273,55,13
2025-11-07T18:31:18.378000+00:00,9860,1273,63,11
2025-11-07T18:31:18.378000+00:00,9860,1273,87,6
2025-11-07T18:31:21.236000+00:00,9860,1273,5,11
2025-11-07T18:31:21.236000+00:00,9860,1273,10,13
2025-11-07T18:31:21.236000+00:00,9860,1273,12,15
2025-11-07T18:31:21.236000+00:00,9860,1273,18,8
2025-11-07T18:31:21.236000+00:00,9860,1273,22,9
2025-11-07T18:31:21.236000+00:00,9860,1273,23,16
2025-11-07T18:31:21.236000+00:00,9860,1273,27,10
