date,session_key,meeting_key,position,driver_number
2025-11-08T18:05:41.687000+00:00,9865,1273,13,63
2025-11-08T18:05:41.687000+00:00,9865,1273,14,6
2025-11-08T18:05:41.687000+00:00,9865,1273,15,12
2025-11-08T18:05:41.687000+00:00,9865,1273,4,30
2025-11-08T18:05:41.687000+00:00,9865,1273,5,23
2025-11-08T18:05:41.687000+00:00,9865,1273,6,31
2025-11-08T18:05:41.687000+00:00,9865,1273,7,87
2025-11-08T18:05:41.687000+00:00,9865,1273,8,43
2025-11-08T18:05:45.970000+00:00,9865,1273,10,4
2025-11-08T18:05:45.970000+00:00,9865,1273,1,81
2025-11-08T18:05:45.970000+00:00,9865,1273,2,27
2025-11-08T18:05:45.970000+00:00,9865,1273,3,10
2025-11-08T18:05:45.970000+00:00,9865,1273,4,55
2025-11-08T18:05:45.970000+00:00,9865,1273,5,30
2025-11-08T18:05:45.970000+00:00,9865,1273,6,23
2025-11-08T18:05:45.970000+00:00,9865,1273,7,31
2025-11-08T18:05:45.970000+00:00,9865,1273,8,87
2025-11-08T18:05:45.970000+00:00,9865,1273,9,43
2025-11-08T18:05:56.969000+00:00,9865,1273,11,4
2025-11-08T18:05:56.969000+00:00,9865,1273,3,14
2025-11-08T18:05:56.969000+00:00,9865,1273,4,10
2025-11-08T18:05:56.969000+00:00,9865,1273,5,55
2025-11-08T18:05:56.969000+00:00,9865,1273,6,30
2025-11-08T18:05:56.969000+00:00,9865,1273,7,23
2025-11-08T18:05:56.969000+00:00,9865,1273,8,31
2025-11-08T18:05:56.969000+00:00,9865,1273,9,87
2025-11-08T18:05:56.969000+00:00,9865,1273,10,43
2025-11-08T18:06:04.812000+00:00,9865,1273,12,4
2025-11-08T18:06:04.812000+00:00,9865,1273,13,5
2025-11-08T18:06:04.812000+00:00,9865,1273,14,63
2025-11-08T18:06:04.812000+00:00,9865,1273,15,6
2025-11-08T18:06:04.812000+00:00,9865,1273,16,12
2025-11-08T18:06:04.812000+00:00,9865,1273,17,18
2025-11-08T18:06:04.812000+00:00,9865,1273,18,1
2025-11-08T18:06:04.812000+00:00,9865,1273,19,16
2025-11-08T18:06:04.812000+00:00,9865,1273,11,44
2025-11-08T18:06:11.612000+00:00,9865,1273,13,4
2025-11-08T18:06:11.612000+00:00,9865,1273,14,5
2025-11-08T18:06:11.612000+00:00,9865,1273,15,63
2025-11-08T18:06:11.612000+00:00,9865,1273,6,6
2025-11-08T18:06:11.612000+00:00,9865,1273,7,30
2025-11-08T18:06:11.612000+00:00,9865,1273,8,23
2025-11-08T18:06:11.612000+00:00,9865,1273,9,31
2025-11-08T18:06:11.612000+00:00,9865,1273,10,87
2025-11-08T18:06:11.612000+00:00,9865,1273,11,43
2025-11-08T18:06:11.612000+00:00,9865,1273,12,44
2025-11-08T18:06:18.737000+00:00,9865,1273,14,4
2025-11-08T18:06:18.737000+00:00,9865,1273,15,5
2025-11-08T18:06:18.737000+00:00,9865,1273,16,63
2025-11-08T18:06:18.737000+00:00,9865,1273,17,12
2025-11-08T18:06:18.737000+00:00,9865,1273,18,18
2025-11-08T18:06:18.737000+00:00,9865,1273,19,1
2025-11-08T18:06:18.737000+00:00,9865,1273,20,16
2025-11-08T18:06:18.737000+00:00,9865,1273,13,22
2025-11-08T18:06:23.582000+00:00,9865,1273,15,4
2025-11-08T18:06:23.582000+00:00,9865,1273,16,5
2025-11-08T18:06:23.582000+00:00,9865,1273,17,63
2025-11-08T18:06:23.582000+00:00,9865,1273,18,12
2025-11-08T18:06:23.582000+00:00,9865,1273,11,18
2025-11-08T18:06:23.582000+00:00,9865,1273,12,43
2025-11-08T18:06:23.582000+00:00,9865,1273,13,44
2025-11-08T18:06:23.582000+00:00,9865,1273,14,22
2025-11-08T18:06:34.549000+00:00,9865,1273,2,81
2025-11-08T18:06:34.549000+00:00,9865,1273,1,27
2025-11-08T18:06:34.936000+00:00,9865,1273,16,4
2025-11-08T18:06:34.936000+00:00,9865,1273,17,5
2025-11-08T18:06:34.936000+00:00,9865,1273,18,63
2025-11-08T18:06:34.936000+00:00,9865,1273,19,12
2025-11-08T18:06:34.936000+00:00,9865,1273,20,1
2025-11-08T18:06:34.936000+00:00,9865,1273,13,16
2025-11-08T18:06:34.936000+00:00,9865,1273,14,44
2025-11-08T18:06:34.936000+00:00,9865,1273,15,22
2025-11-08T18:06:42.039000+00:00,9865,1273,3,81
2025-11-08T18:06:42.039000+00:00,9865,1273,4,14
2025-11-08T18:06:42.039000+00:00,9865,1273,5,10
2025-11-08T18:06:42.039000+00:00,9865,1273,6,55
2025-11-08T18:06:42.039000+00:00,9865,1273,7,6
2025-11-08T18:06:42.039000+00:00,9865,1273,8,30
2025-11-08T18:06:42.039000+00:00,9865,1273,9,23
2025-11-08T18:06:42.039000+00:00,9865,1273,10,31
2025-11-08T18:06:42.039000+00:00,9865,1273,2,87
2025-11-08T18:06:48.086000+00:00,9865,1273,3,4
2025-11-08T18:06:48.086000+00:00,9865,1273,4,81
2025-11-08T18:06:48.086000+00:00,9865,1273,5,14
2025-11-08T18:06:48.086000+00:00,9865,1273,6,10
2025-11-08T18:06:48.086000+00:00,9865,1273,7,55
2025-11-08T18:06:48.086000+00:00,9865,1273,8,6
2025-11-08T18:06:48.086000+00:00,9865,1273,9,30
2025-11-08T18:06:48.086000+00:00,9865,1273,10,23
2025-11-08T18:06:48.086000+00:00,9865,1273,11,31
2025-11-08T18:06:48.086000+00:00,9865,1273,12,18
2025-11-08T18:06:48.086000+00:00,9865,1273,13,43
2025-11-08T18:06:48.086000+00:00,9865,1273,14,16
2025-11-08T18:06:48.086000+00:00,9865,1273,15,44
2025-11-08T18:06:48.086000+00:00,9865,1273,16,22
2025-11-08T18:06:52.019000+00:00,9865,1273,4,4
2025-11-08T18:06:52.019000+00:00,9865,1273,5,81
2025-11-08T18:06:52.019000+00:00,9865,1273,6,14
2025-11-08T18:06:52.019000+00:00,9865,1273,7,10
2025-11-08T18:06:52.019000+00:00,9865,1273,8,55
2025-11-08T18:06:52.019000+00:00,9865,1273,9,6
2025-11-08T18:06:52.019000+00:00,9865,1273,10,30
2025-11-08T18:06:52.019000+00:00,9865,1273,11,23
2025-11-08T18:06:52.019000+00:00,9865,1273,2,31
2025-11-08T18:06:52.019000+00:00,9865,1273,3,87
2025-11-08T18:07:00.114000+00:00,9865,1273,5,4
2025-11-08T18:07:00.114000+00:00,9865,1273,6,81
2025-11-08T18:07:00.114000+00:00,9865,1273,7,14
2025-11-08T18:07:00.114000+00:00,9865,1273,8,10
2025-11-08T18:07:00.114000+00:00,9865,1273,9,55
2025-11-08T18:07:00.114000+00:00,9865,1273,10,6
2025-11-08T18:07:00.114000+00:00,9865,1273,11,30
2025-11-08T18:07:00.114000+00:00,9865,1273,12,23
2025-11-08T18:07:00.114000+00:00,9865,1273,13,18
2025-11-08T18:07:00.114000+00:00,9865,1273,4,43
2025-11-08T18:07:07.186000+00:00,9865,1273,6,4
2025-11-08T18:07:07.186000+00:00,9865,1273,7,81
2025-11-08T18:07:07.186000+00:00,9865,1273,8,14
2025-11-08T18:07:07.186000+00:00,9865,1273,2,10
2025-11-08T18:07:07.186000+00:00,9865,1273,3,31
2025-11-08T18:07:07.186000+00:00,9865,1273,4,87
2025-11-08T18:07:07.186000+00:00,9865,1273,5,43
2025-11-08T18:07:15.128000+00:00,9865,1273,7,4
2025-11-08T18:07:15.128000+00:00,9865,1273,8,81
2025-11-08T18:07:15.128000+00:00,9865,1273,9,14
2025-11-08T18:07:15.128000+00:00,9865,1273,10,55
2025-11-08T18:07:15.128000+00:00,9865,1273,11,6
2025-11-08T18:07:15.128000+00:00,9865,1273,3,30
2025-11-08T18:07:15.128000+00:00,9865,1273,4,31
2025-11-08T18:07:15.128000+00:00,9865,1273,5,87
2025-11-08T18:07:15.128000+00:00,9865,1273,6,43
2025-11-08T18:07:19.459000+00:00,9865,1273,18,5
2025-11-08T18:07:19.459000+00:00,9865,1273,19,63
2025-11-08T18:07:19.459000+00:00,9865,1273,20,12
